group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
01 iter,iter_hyb,5,,,51037973.0,ns,4
01 iter,iter_hyb,5,,,51110509.0,ns,4
01 iter,iter_hyb,5,,,50978625.0,ns,4
01 iter,iter_hyb,5,,,51253236.0,ns,4
01 iter,iter_hyb,5,,,51688183.0,ns,4
01 iter,iter_hyb,5,,,51054321.0,ns,4
01 iter,iter_hyb,5,,,51031274.0,ns,4
01 iter,iter_hyb,5,,,50993198.0,ns,4
01 iter,iter_hyb,5,,,50989313.0,ns,4
01 iter,iter_hyb,5,,,50968117.0,ns,4
01 iter,iter_hyb,5,,,50929203.0,ns,4
01 iter,iter_hyb,5,,,51073469.0,ns,4
01 iter,iter_hyb,5,,,50950041.0,ns,4
01 iter,iter_hyb,5,,,51070881.0,ns,4
01 iter,iter_hyb,5,,,51024364.0,ns,4
01 iter,iter_hyb,5,,,51200053.0,ns,4
01 iter,iter_hyb,5,,,50994877.0,ns,4
01 iter,iter_hyb,5,,,51462479.0,ns,4
01 iter,iter_hyb,5,,,51220808.0,ns,4
01 iter,iter_hyb,5,,,50958643.0,ns,4
01 iter,iter_hyb,5,,,51496095.0,ns,4
01 iter,iter_hyb,5,,,51033705.0,ns,4
01 iter,iter_hyb,5,,,50971616.0,ns,4
01 iter,iter_hyb,5,,,52745142.0,ns,4
01 iter,iter_hyb,5,,,50998229.0,ns,4
01 iter,iter_hyb,5,,,51217984.0,ns,4
01 iter,iter_hyb,5,,,50989313.0,ns,4
01 iter,iter_hyb,5,,,50926472.0,ns,4
01 iter,iter_hyb,5,,,51132121.0,ns,4
01 iter,iter_hyb,5,,,51102757.0,ns,4
01 iter,iter_hyb,5,,,51290002.0,ns,4
01 iter,iter_hyb,5,,,50986981.0,ns,4
01 iter,iter_hyb,5,,,51275820.0,ns,4
01 iter,iter_hyb,5,,,51071370.0,ns,4
01 iter,iter_hyb,5,,,51221204.0,ns,4
01 iter,iter_hyb,5,,,51178899.0,ns,4
01 iter,iter_hyb,5,,,51205277.0,ns,4
01 iter,iter_hyb,5,,,51011950.0,ns,4
01 iter,iter_hyb,5,,,51109407.0,ns,4
01 iter,iter_hyb,5,,,50990791.0,ns,4
01 iter,iter_hyb,5,,,51213135.0,ns,4
01 iter,iter_hyb,5,,,50948977.0,ns,4
01 iter,iter_hyb,5,,,51144670.0,ns,4
01 iter,iter_hyb,5,,,51138693.0,ns,4
01 iter,iter_hyb,5,,,51020441.0,ns,4
01 iter,iter_hyb,5,,,51251523.0,ns,4
01 iter,iter_hyb,5,,,51250460.0,ns,4
01 iter,iter_hyb,5,,,51012277.0,ns,4
01 iter,iter_hyb,5,,,51024190.0,ns,4
01 iter,iter_hyb,5,,,50973292.0,ns,4
01 iter,iter_hyb,5,,,52528440.0,ns,4
01 iter,iter_hyb,5,,,50949645.0,ns,4
01 iter,iter_hyb,5,,,51406634.0,ns,4
01 iter,iter_hyb,5,,,50979854.0,ns,4
01 iter,iter_hyb,5,,,50993191.0,ns,4
01 iter,iter_hyb,5,,,51039412.0,ns,4
01 iter,iter_hyb,5,,,51004690.0,ns,4
01 iter,iter_hyb,5,,,51222435.0,ns,4
01 iter,iter_hyb,5,,,51053944.0,ns,4
01 iter,iter_hyb,5,,,50994583.0,ns,4
01 iter,iter_hyb,5,,,51446314.0,ns,4
01 iter,iter_hyb,5,,,50978862.0,ns,4
01 iter,iter_hyb,5,,,50997444.0,ns,4
01 iter,iter_hyb,5,,,51542961.0,ns,4
01 iter,iter_hyb,5,,,51349491.0,ns,4
01 iter,iter_hyb,5,,,51016721.0,ns,4
01 iter,iter_hyb,5,,,50962571.0,ns,4
01 iter,iter_hyb,5,,,51097690.0,ns,4
01 iter,iter_hyb,5,,,51139459.0,ns,4
01 iter,iter_hyb,5,,,51012717.0,ns,4
01 iter,iter_hyb,5,,,51004473.0,ns,4
01 iter,iter_hyb,5,,,51007206.0,ns,4
01 iter,iter_hyb,5,,,51210143.0,ns,4
01 iter,iter_hyb,5,,,50965787.0,ns,4
01 iter,iter_hyb,5,,,51160994.0,ns,4
01 iter,iter_hyb,5,,,51228250.0,ns,4
01 iter,iter_hyb,5,,,51379786.0,ns,4
01 iter,iter_hyb,5,,,50972992.0,ns,4
01 iter,iter_hyb,5,,,50904714.0,ns,4
01 iter,iter_hyb,5,,,51012825.0,ns,4
01 iter,iter_hyb,5,,,51137144.0,ns,4
01 iter,iter_hyb,5,,,51152857.0,ns,4
01 iter,iter_hyb,5,,,51223670.0,ns,4
01 iter,iter_hyb,5,,,51200263.0,ns,4
01 iter,iter_hyb,5,,,51332772.0,ns,4
01 iter,iter_hyb,5,,,51242594.0,ns,4
01 iter,iter_hyb,5,,,51324099.0,ns,4
01 iter,iter_hyb,5,,,51244525.0,ns,4
01 iter,iter_hyb,5,,,51008131.0,ns,4
01 iter,iter_hyb,5,,,51189473.0,ns,4
01 iter,iter_hyb,5,,,50996255.0,ns,4
01 iter,iter_hyb,5,,,51176681.0,ns,4
01 iter,iter_hyb,5,,,51063618.0,ns,4
01 iter,iter_hyb,5,,,50975047.0,ns,4
01 iter,iter_hyb,5,,,50981990.0,ns,4
01 iter,iter_hyb,5,,,51074063.0,ns,4
01 iter,iter_hyb,5,,,51041795.0,ns,4
01 iter,iter_hyb,5,,,51001635.0,ns,4
01 iter,iter_hyb,5,,,51023513.0,ns,4
01 iter,iter_hyb,5,,,51126497.0,ns,4
