group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
01 iter,iter_par,5,,,55522722.0,ns,4
01 iter,iter_par,5,,,56524202.0,ns,4
01 iter,iter_par,5,,,55091187.0,ns,4
01 iter,iter_par,5,,,55374479.0,ns,4
01 iter,iter_par,5,,,54600063.0,ns,4
01 iter,iter_par,5,,,54405126.0,ns,4
01 iter,iter_par,5,,,52877536.0,ns,4
01 iter,iter_par,5,,,53920701.0,ns,4
01 iter,iter_par,5,,,54548179.0,ns,4
01 iter,iter_par,5,,,53754642.0,ns,4
01 iter,iter_par,5,,,54987891.0,ns,4
01 iter,iter_par,5,,,57170681.0,ns,4
01 iter,iter_par,5,,,56311924.0,ns,4
01 iter,iter_par,5,,,59724125.0,ns,4
01 iter,iter_par,5,,,53400583.0,ns,4
01 iter,iter_par,5,,,55707760.0,ns,4
01 iter,iter_par,5,,,57281991.0,ns,4
01 iter,iter_par,5,,,55707489.0,ns,4
01 iter,iter_par,5,,,55197795.0,ns,4
01 iter,iter_par,5,,,53569663.0,ns,4
01 iter,iter_par,5,,,53013757.0,ns,4
01 iter,iter_par,5,,,56309911.0,ns,4
01 iter,iter_par,5,,,54066297.0,ns,4
01 iter,iter_par,5,,,55073705.0,ns,4
01 iter,iter_par,5,,,55605391.0,ns,4
01 iter,iter_par,5,,,52690653.0,ns,4
01 iter,iter_par,5,,,55807684.0,ns,4
01 iter,iter_par,5,,,55761873.0,ns,4
01 iter,iter_par,5,,,62433482.0,ns,4
01 iter,iter_par,5,,,58534637.0,ns,4
01 iter,iter_par,5,,,54290842.0,ns,4
01 iter,iter_par,5,,,56714168.0,ns,4
01 iter,iter_par,5,,,56241707.0,ns,4
01 iter,iter_par,5,,,55998187.0,ns,4
01 iter,iter_par,5,,,53363254.0,ns,4
01 iter,iter_par,5,,,56863569.0,ns,4
01 iter,iter_par,5,,,52887379.0,ns,4
01 iter,iter_par,5,,,53648575.0,ns,4
01 iter,iter_par,5,,,53616555.0,ns,4
01 iter,iter_par,5,,,57421407.0,ns,4
01 iter,iter_par,5,,,52898005.0,ns,4
01 iter,iter_par,5,,,56707980.0,ns,4
01 iter,iter_par,5,,,56980281.0,ns,4
01 iter,iter_par,5,,,54365002.0,ns,4
01 iter,iter_par,5,,,57056588.0,ns,4
01 iter,iter_par,5,,,58383988.0,ns,4
01 iter,iter_par,5,,,52870570.0,ns,4
01 iter,iter_par,5,,,54171479.0,ns,4
01 iter,iter_par,5,,,55699215.0,ns,4
01 iter,iter_par,5,,,54810628.0,ns,4
01 iter,iter_par,5,,,55784234.0,ns,4
01 iter,iter_par,5,,,53706732.0,ns,4
01 iter,iter_par,5,,,54923370.0,ns,4
01 iter,iter_par,5,,,56104352.0,ns,4
01 iter,iter_par,5,,,56787598.0,ns,4
01 iter,iter_par,5,,,59924064.0,ns,4
01 iter,iter_par,5,,,57700078.0,ns,4
01 iter,iter_par,5,,,53669610.0,ns,4
01 iter,iter_par,5,,,54777601.0,ns,4
01 iter,iter_par,5,,,57574516.0,ns,4
01 iter,iter_par,5,,,57581645.0,ns,4
01 iter,iter_par,5,,,54288042.0,ns,4
01 iter,iter_par,5,,,59330411.0,ns,4
01 iter,iter_par,5,,,54582218.0,ns,4
01 iter,iter_par,5,,,54609668.0,ns,4
01 iter,iter_par,5,,,54001379.0,ns,4
01 iter,iter_par,5,,,58026761.0,ns,4
01 iter,iter_par,5,,,54174011.0,ns,4
01 iter,iter_par,5,,,54297305.0,ns,4
01 iter,iter_par,5,,,53351093.0,ns,4
01 iter,iter_par,5,,,53398898.0,ns,4
01 iter,iter_par,5,,,53648908.0,ns,4
01 iter,iter_par,5,,,53846799.0,ns,4
01 iter,iter_par,5,,,59807560.0,ns,4
01 iter,iter_par,5,,,53783750.0,ns,4
01 iter,iter_par,5,,,54264368.0,ns,4
01 iter,iter_par,5,,,54197348.0,ns,4
01 iter,iter_par,5,,,54023712.0,ns,4
01 iter,iter_par,5,,,56608398.0,ns,4
01 iter,iter_par,5,,,55009280.0,ns,4
01 iter,iter_par,5,,,57556971.0,ns,4
01 iter,iter_par,5,,,57346563.0,ns,4
01 iter,iter_par,5,,,54228990.0,ns,4
01 iter,iter_par,5,,,55938519.0,ns,4
01 iter,iter_par,5,,,56779923.0,ns,4
01 iter,iter_par,5,,,53472892.0,ns,4
01 iter,iter_par,5,,,55047047.0,ns,4
01 iter,iter_par,5,,,53629482.0,ns,4
01 iter,iter_par,5,,,53656464.0,ns,4
01 iter,iter_par,5,,,53393669.0,ns,4
01 iter,iter_par,5,,,53857724.0,ns,4
01 iter,iter_par,5,,,53145283.0,ns,4
01 iter,iter_par,5,,,54103096.0,ns,4
01 iter,iter_par,5,,,55932179.0,ns,4
01 iter,iter_par,5,,,55917070.0,ns,4
01 iter,iter_par,5,,,52919670.0,ns,4
01 iter,iter_par,5,,,57983243.0,ns,4
01 iter,iter_par,5,,,53790688.0,ns,4
01 iter,iter_par,5,,,52646522.0,ns,4
01 iter,iter_par,5,,,53877646.0,ns,4
