group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
01 iter,iter_seq,5,,,55353650.0,ns,2
01 iter,iter_seq,5,,,55377717.0,ns,2
01 iter,iter_seq,5,,,55329784.0,ns,2
01 iter,iter_seq,5,,,55992612.0,ns,2
01 iter,iter_seq,5,,,55329122.0,ns,2
01 iter,iter_seq,5,,,55242407.0,ns,2
01 iter,iter_seq,5,,,55418555.0,ns,2
01 iter,iter_seq,5,,,55316524.0,ns,2
01 iter,iter_seq,5,,,55281147.0,ns,2
01 iter,iter_seq,5,,,55300734.0,ns,2
01 iter,iter_seq,5,,,55423155.0,ns,2
01 iter,iter_seq,5,,,55336273.0,ns,2
01 iter,iter_seq,5,,,55340037.0,ns,2
01 iter,iter_seq,5,,,55319235.0,ns,2
01 iter,iter_seq,5,,,55126476.0,ns,2
01 iter,iter_seq,5,,,55328489.0,ns,2
01 iter,iter_seq,5,,,55159685.0,ns,2
01 iter,iter_seq,5,,,55338793.0,ns,2
01 iter,iter_seq,5,,,55236776.0,ns,2
01 iter,iter_seq,5,,,55281548.0,ns,2
01 iter,iter_seq,5,,,55281495.0,ns,2
01 iter,iter_seq,5,,,55727448.0,ns,2
01 iter,iter_seq,5,,,55523699.0,ns,2
01 iter,iter_seq,5,,,55289425.0,ns,2
01 iter,iter_seq,5,,,56028797.0,ns,2
01 iter,iter_seq,5,,,55199047.0,ns,2
01 iter,iter_seq,5,,,55331910.0,ns,2
01 iter,iter_seq,5,,,55243008.0,ns,2
01 iter,iter_seq,5,,,55229897.0,ns,2
01 iter,iter_seq,5,,,55462116.0,ns,2
01 iter,iter_seq,5,,,55206231.0,ns,2
01 iter,iter_seq,5,,,55446060.0,ns,2
01 iter,iter_seq,5,,,55148587.0,ns,2
01 iter,iter_seq,5,,,55535349.0,ns,2
01 iter,iter_seq,5,,,55215450.0,ns,2
01 iter,iter_seq,5,,,55246746.0,ns,2
01 iter,iter_seq,5,,,55365313.0,ns,2
01 iter,iter_seq,5,,,55244669.0,ns,2
01 iter,iter_seq,5,,,55386712.0,ns,2
01 iter,iter_seq,5,,,55856896.0,ns,2
01 iter,iter_seq,5,,,55554378.0,ns,2
01 iter,iter_seq,5,,,55188477.0,ns,2
01 iter,iter_seq,5,,,55312805.0,ns,2
01 iter,iter_seq,5,,,55226815.0,ns,2
01 iter,iter_seq,5,,,55292732.0,ns,2
01 iter,iter_seq,5,,,55278117.0,ns,2
01 iter,iter_seq,5,,,55222493.0,ns,2
01 iter,iter_seq,5,,,55301564.0,ns,2
01 iter,iter_seq,5,,,55304287.0,ns,2
01 iter,iter_seq,5,,,55110129.0,ns,2
01 iter,iter_seq,5,,,55234716.0,ns,2
01 iter,iter_seq,5,,,55241039.0,ns,2
01 iter,iter_seq,5,,,55290721.0,ns,2
01 iter,iter_seq,5,,,55355959.0,ns,2
01 iter,iter_seq,5,,,55101181.0,ns,2
01 iter,iter_seq,5,,,55339930.0,ns,2
01 iter,iter_seq,5,,,55198842.0,ns,2
01 iter,iter_seq,5,,,55449911.0,ns,2
01 iter,iter_seq,5,,,55219707.0,ns,2
01 iter,iter_seq,5,,,55160444.0,ns,2
01 iter,iter_seq,5,,,55539148.0,ns,2
01 iter,iter_seq,5,,,55124913.0,ns,2
01 iter,iter_seq,5,,,55426895.0,ns,2
01 iter,iter_seq,5,,,55112142.0,ns,2
01 iter,iter_seq,5,,,55341196.0,ns,2
01 iter,iter_seq,5,,,55219101.0,ns,2
01 iter,iter_seq,5,,,55262007.0,ns,2
01 iter,iter_seq,5,,,55293292.0,ns,2
01 iter,iter_seq,5,,,55187493.0,ns,2
01 iter,iter_seq,5,,,55316386.0,ns,2
01 iter,iter_seq,5,,,55224244.0,ns,2
01 iter,iter_seq,5,,,55311367.0,ns,2
01 iter,iter_seq,5,,,55063171.0,ns,2
01 iter,iter_seq,5,,,55234554.0,ns,2
01 iter,iter_seq,5,,,55242486.0,ns,2
01 iter,iter_seq,5,,,55745913.0,ns,2
01 iter,iter_seq,5,,,55317474.0,ns,2
01 iter,iter_seq,5,,,56005302.0,ns,2
01 iter,iter_seq,5,,,55257060.0,ns,2
01 iter,iter_seq,5,,,56466993.0,ns,2
01 iter,iter_seq,5,,,55529058.0,ns,2
01 iter,iter_seq,5,,,55346172.0,ns,2
01 iter,iter_seq,5,,,55195047.0,ns,2
01 iter,iter_seq,5,,,55250297.0,ns,2
01 iter,iter_seq,5,,,55191767.0,ns,2
01 iter,iter_seq,5,,,55195000.0,ns,2
01 iter,iter_seq,5,,,55136788.0,ns,2
01 iter,iter_seq,5,,,55292862.0,ns,2
01 iter,iter_seq,5,,,55157177.0,ns,2
01 iter,iter_seq,5,,,55172072.0,ns,2
01 iter,iter_seq,5,,,55128820.0,ns,2
01 iter,iter_seq,5,,,55271587.0,ns,2
01 iter,iter_seq,5,,,55268125.0,ns,2
01 iter,iter_seq,5,,,55492628.0,ns,2
01 iter,iter_seq,5,,,55238287.0,ns,2
01 iter,iter_seq,5,,,55407270.0,ns,2
01 iter,iter_seq,5,,,55250218.0,ns,2
01 iter,iter_seq,5,,,55355647.0,ns,2
01 iter,iter_seq,5,,,55344221.0,ns,2
01 iter,iter_seq,5,,,55484895.0,ns,2
