group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
02 iter_opti,iter_hyb_opti,5,,,991925.0,ns,17
02 iter_opti,iter_hyb_opti,5,,,2233001.0,ns,34
02 iter_opti,iter_hyb_opti,5,,,2884803.0,ns,51
02 iter_opti,iter_hyb_opti,5,,,3873749.0,ns,68
02 iter_opti,iter_hyb_opti,5,,,5007881.0,ns,85
02 iter_opti,iter_hyb_opti,5,,,5751003.0,ns,102
02 iter_opti,iter_hyb_opti,5,,,6909575.0,ns,119
02 iter_opti,iter_hyb_opti,5,,,7723913.0,ns,136
02 iter_opti,iter_hyb_opti,5,,,8794513.0,ns,153
02 iter_opti,iter_hyb_opti,5,,,9703561.0,ns,170
02 iter_opti,iter_hyb_opti,5,,,10849207.0,ns,187
02 iter_opti,iter_hyb_opti,5,,,12078306.0,ns,204
02 iter_opti,iter_hyb_opti,5,,,13239643.0,ns,221
02 iter_opti,iter_hyb_opti,5,,,14225686.0,ns,238
02 iter_opti,iter_hyb_opti,5,,,15180097.0,ns,255
02 iter_opti,iter_hyb_opti,5,,,16129317.0,ns,272
02 iter_opti,iter_hyb_opti,5,,,16976537.0,ns,289
02 iter_opti,iter_hyb_opti,5,,,17975824.0,ns,306
02 iter_opti,iter_hyb_opti,5,,,18630766.0,ns,323
02 iter_opti,iter_hyb_opti,5,,,19998379.0,ns,340
02 iter_opti,iter_hyb_opti,5,,,21057821.0,ns,357
02 iter_opti,iter_hyb_opti,5,,,22236578.0,ns,374
02 iter_opti,iter_hyb_opti,5,,,22574403.0,ns,391
02 iter_opti,iter_hyb_opti,5,,,24074084.0,ns,408
02 iter_opti,iter_hyb_opti,5,,,25040480.0,ns,425
02 iter_opti,iter_hyb_opti,5,,,25995681.0,ns,442
02 iter_opti,iter_hyb_opti,5,,,26600241.0,ns,459
02 iter_opti,iter_hyb_opti,5,,,27683058.0,ns,476
02 iter_opti,iter_hyb_opti,5,,,28143938.0,ns,493
02 iter_opti,iter_hyb_opti,5,,,29061624.0,ns,510
02 iter_opti,iter_hyb_opti,5,,,30838187.0,ns,527
02 iter_opti,iter_hyb_opti,5,,,32447331.0,ns,544
02 iter_opti,iter_hyb_opti,5,,,33007615.0,ns,561
02 iter_opti,iter_hyb_opti,5,,,32979952.0,ns,578
02 iter_opti,iter_hyb_opti,5,,,34212113.0,ns,595
02 iter_opti,iter_hyb_opti,5,,,35298719.0,ns,612
02 iter_opti,iter_hyb_opti,5,,,37605143.0,ns,629
02 iter_opti,iter_hyb_opti,5,,,38160821.0,ns,646
02 iter_opti,iter_hyb_opti,5,,,37914533.0,ns,663
02 iter_opti,iter_hyb_opti,5,,,39269790.0,ns,680
02 iter_opti,iter_hyb_opti,5,,,40367388.0,ns,697
02 iter_opti,iter_hyb_opti,5,,,42562294.0,ns,714
02 iter_opti,iter_hyb_opti,5,,,43523648.0,ns,731
02 iter_opti,iter_hyb_opti,5,,,42724128.0,ns,748
02 iter_opti,iter_hyb_opti,5,,,44102914.0,ns,765
02 iter_opti,iter_hyb_opti,5,,,45817307.0,ns,782
02 iter_opti,iter_hyb_opti,5,,,47679850.0,ns,799
02 iter_opti,iter_hyb_opti,5,,,46797895.0,ns,816
02 iter_opti,iter_hyb_opti,5,,,47855836.0,ns,833
02 iter_opti,iter_hyb_opti,5,,,50926294.0,ns,850
02 iter_opti,iter_hyb_opti,5,,,50934403.0,ns,867
02 iter_opti,iter_hyb_opti,5,,,50433359.0,ns,884
02 iter_opti,iter_hyb_opti,5,,,52208218.0,ns,901
