group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
02 iter_opti,iter_seq_opti,5,,,57860456.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57837000.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57826786.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58649851.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58050387.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58186875.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57917092.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57693765.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57979924.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57635850.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58206820.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57690406.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57883984.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58484628.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58006839.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58019459.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58042271.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57658527.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57682531.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57880191.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58001777.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58152015.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58019065.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57981599.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57660519.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58013581.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57742024.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57888792.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57757970.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57782203.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58033258.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58086321.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57729606.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57718907.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57761118.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57774750.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57640539.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57930831.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57979964.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58410313.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58127662.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57818665.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58022039.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57906103.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58026572.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57828938.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57762708.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57984443.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57930154.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57818458.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57667084.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57810362.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57757063.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57580665.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58014539.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58066327.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58235618.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58640697.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58116743.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57888062.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57745013.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57980093.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57816420.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57947816.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57784717.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57682435.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57714231.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57945785.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57802675.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57904564.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57831870.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57838817.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57565436.0,ns,4
02 iter_opti,iter_seq_opti,5,,,58016009.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57756148.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57771207.0,ns,4
02 iter_opti,iter_seq_opti,5,,,57427106.0,ns,4
