group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
03 iter_iter_opti,iter_hyb,5,,,51038976.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51065069.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51784562.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51649808.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51511764.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51047744.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51073808.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50989451.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51080937.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51022607.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51022747.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51030743.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51025143.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51238503.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51138375.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51183255.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51237094.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51250547.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51020321.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50930123.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51162137.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51071793.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51151363.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51232905.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51385886.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51098293.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51215015.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51043461.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50969671.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50970234.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50998718.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51476208.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51279970.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51702145.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50978375.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51070770.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51190368.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51037966.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50927527.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51036406.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50959665.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51043126.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51063257.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50968597.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50990518.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51002724.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51254116.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51087089.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50986349.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50981280.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51050561.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51848606.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51055487.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51058721.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51075117.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51072898.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51056113.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50953703.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51088872.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51048169.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51036443.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50987217.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51208185.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50962343.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51234401.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50956431.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51225898.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51001360.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50978337.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50973598.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51249238.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51043080.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50988506.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50958814.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51005168.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51055460.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51230015.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51191203.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51196919.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,52405118.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51085543.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51139243.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51053593.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50986297.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51030043.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51140545.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50972146.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51387529.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51180944.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51257191.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51161624.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51201374.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50978335.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50948376.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51170599.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51190200.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,51050138.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50969578.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50949546.0,ns,4
03 iter_iter_opti,iter_hyb,5,,,50944812.0,ns,4
