group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
03 iter_iter_opti,iter_hyb_opti,5,,,963642.0,ns,17
03 iter_iter_opti,iter_hyb_opti,5,,,1898722.0,ns,34
03 iter_iter_opti,iter_hyb_opti,5,,,3004972.0,ns,51
03 iter_iter_opti,iter_hyb_opti,5,,,3912128.0,ns,68
03 iter_iter_opti,iter_hyb_opti,5,,,4865948.0,ns,85
03 iter_iter_opti,iter_hyb_opti,5,,,5810192.0,ns,102
03 iter_iter_opti,iter_hyb_opti,5,,,6795446.0,ns,119
03 iter_iter_opti,iter_hyb_opti,5,,,7728927.0,ns,136
03 iter_iter_opti,iter_hyb_opti,5,,,8819860.0,ns,153
03 iter_iter_opti,iter_hyb_opti,5,,,9854443.0,ns,170
03 iter_iter_opti,iter_hyb_opti,5,,,11212099.0,ns,187
03 iter_iter_opti,iter_hyb_opti,5,,,12147244.0,ns,204
03 iter_iter_opti,iter_hyb_opti,5,,,13252371.0,ns,221
03 iter_iter_opti,iter_hyb_opti,5,,,14146101.0,ns,238
03 iter_iter_opti,iter_hyb_opti,5,,,15076446.0,ns,255
03 iter_iter_opti,iter_hyb_opti,5,,,16113586.0,ns,272
03 iter_iter_opti,iter_hyb_opti,5,,,17160239.0,ns,289
03 iter_iter_opti,iter_hyb_opti,5,,,17676691.0,ns,306
03 iter_iter_opti,iter_hyb_opti,5,,,18462974.0,ns,323
03 iter_iter_opti,iter_hyb_opti,5,,,20321230.0,ns,340
03 iter_iter_opti,iter_hyb_opti,5,,,21411045.0,ns,357
03 iter_iter_opti,iter_hyb_opti,5,,,21484459.0,ns,374
03 iter_iter_opti,iter_hyb_opti,5,,,23347789.0,ns,391
03 iter_iter_opti,iter_hyb_opti,5,,,24171107.0,ns,408
03 iter_iter_opti,iter_hyb_opti,5,,,25361979.0,ns,425
03 iter_iter_opti,iter_hyb_opti,5,,,26369590.0,ns,442
03 iter_iter_opti,iter_hyb_opti,5,,,26403888.0,ns,459
03 iter_iter_opti,iter_hyb_opti,5,,,27278963.0,ns,476
03 iter_iter_opti,iter_hyb_opti,5,,,28297839.0,ns,493
03 iter_iter_opti,iter_hyb_opti,5,,,30424012.0,ns,510
03 iter_iter_opti,iter_hyb_opti,5,,,31201756.0,ns,527
03 iter_iter_opti,iter_hyb_opti,5,,,32433106.0,ns,544
03 iter_iter_opti,iter_hyb_opti,5,,,32974801.0,ns,561
03 iter_iter_opti,iter_hyb_opti,5,,,33285453.0,ns,578
03 iter_iter_opti,iter_hyb_opti,5,,,34308082.0,ns,595
03 iter_iter_opti,iter_hyb_opti,5,,,36460023.0,ns,612
03 iter_iter_opti,iter_hyb_opti,5,,,37121601.0,ns,629
03 iter_iter_opti,iter_hyb_opti,5,,,38319942.0,ns,646
03 iter_iter_opti,iter_hyb_opti,5,,,38029353.0,ns,663
03 iter_iter_opti,iter_hyb_opti,5,,,38938870.0,ns,680
03 iter_iter_opti,iter_hyb_opti,5,,,41503459.0,ns,697
