group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
04 recur,recur_cwd,5,,,51553828.0,ns,4
04 recur,recur_cwd,5,,,51530849.0,ns,4
04 recur,recur_cwd,5,,,51587607.0,ns,4
04 recur,recur_cwd,5,,,53907036.0,ns,4
04 recur,recur_cwd,5,,,52060285.0,ns,4
04 recur,recur_cwd,5,,,51537060.0,ns,4
04 recur,recur_cwd,5,,,51677518.0,ns,4
04 recur,recur_cwd,5,,,51602321.0,ns,4
04 recur,recur_cwd,5,,,52825714.0,ns,4
04 recur,recur_cwd,5,,,51533126.0,ns,4
04 recur,recur_cwd,5,,,51530193.0,ns,4
04 recur,recur_cwd,5,,,51583688.0,ns,4
04 recur,recur_cwd,5,,,51584960.0,ns,4
04 recur,recur_cwd,5,,,51503216.0,ns,4
04 recur,recur_cwd,5,,,51527681.0,ns,4
04 recur,recur_cwd,5,,,51587288.0,ns,4
04 recur,recur_cwd,5,,,51467177.0,ns,4
04 recur,recur_cwd,5,,,51538644.0,ns,4
04 recur,recur_cwd,5,,,51515970.0,ns,4
04 recur,recur_cwd,5,,,51581115.0,ns,4
04 recur,recur_cwd,5,,,51595493.0,ns,4
04 recur,recur_cwd,5,,,51581014.0,ns,4
04 recur,recur_cwd,5,,,51665125.0,ns,4
04 recur,recur_cwd,5,,,51643122.0,ns,4
04 recur,recur_cwd,5,,,51607222.0,ns,4
04 recur,recur_cwd,5,,,51674200.0,ns,4
04 recur,recur_cwd,5,,,51514558.0,ns,4
04 recur,recur_cwd,5,,,51614092.0,ns,4
04 recur,recur_cwd,5,,,51565864.0,ns,4
04 recur,recur_cwd,5,,,51421854.0,ns,4
04 recur,recur_cwd,5,,,51551529.0,ns,4
04 recur,recur_cwd,5,,,51503105.0,ns,4
04 recur,recur_cwd,5,,,51567908.0,ns,4
04 recur,recur_cwd,5,,,51615445.0,ns,4
04 recur,recur_cwd,5,,,51606071.0,ns,4
04 recur,recur_cwd,5,,,51595165.0,ns,4
04 recur,recur_cwd,5,,,51503000.0,ns,4
04 recur,recur_cwd,5,,,51593344.0,ns,4
04 recur,recur_cwd,5,,,51633992.0,ns,4
04 recur,recur_cwd,5,,,51663775.0,ns,4
04 recur,recur_cwd,5,,,51598628.0,ns,4
04 recur,recur_cwd,5,,,51616467.0,ns,4
04 recur,recur_cwd,5,,,51623072.0,ns,4
04 recur,recur_cwd,5,,,51502632.0,ns,4
04 recur,recur_cwd,5,,,51561564.0,ns,4
04 recur,recur_cwd,5,,,52380613.0,ns,4
04 recur,recur_cwd,5,,,51543187.0,ns,4
04 recur,recur_cwd,5,,,51703227.0,ns,4
04 recur,recur_cwd,5,,,51539977.0,ns,4
04 recur,recur_cwd,5,,,52034444.0,ns,4
04 recur,recur_cwd,5,,,51587989.0,ns,4
04 recur,recur_cwd,5,,,51561727.0,ns,4
04 recur,recur_cwd,5,,,51569139.0,ns,4
04 recur,recur_cwd,5,,,51696532.0,ns,4
04 recur,recur_cwd,5,,,51628492.0,ns,4
04 recur,recur_cwd,5,,,51584808.0,ns,4
04 recur,recur_cwd,5,,,51513588.0,ns,4
04 recur,recur_cwd,5,,,51545990.0,ns,4
04 recur,recur_cwd,5,,,51532632.0,ns,4
04 recur,recur_cwd,5,,,51509664.0,ns,4
04 recur,recur_cwd,5,,,51564306.0,ns,4
04 recur,recur_cwd,5,,,51432310.0,ns,4
04 recur,recur_cwd,5,,,51605055.0,ns,4
04 recur,recur_cwd,5,,,51482581.0,ns,4
04 recur,recur_cwd,5,,,51531960.0,ns,4
04 recur,recur_cwd,5,,,51544835.0,ns,4
04 recur,recur_cwd,5,,,51558726.0,ns,4
04 recur,recur_cwd,5,,,51490938.0,ns,4
04 recur,recur_cwd,5,,,51635160.0,ns,4
04 recur,recur_cwd,5,,,51534697.0,ns,4
04 recur,recur_cwd,5,,,51584270.0,ns,4
04 recur,recur_cwd,5,,,51591573.0,ns,4
04 recur,recur_cwd,5,,,51480595.0,ns,4
04 recur,recur_cwd,5,,,51548672.0,ns,4
04 recur,recur_cwd,5,,,51617961.0,ns,4
04 recur,recur_cwd,5,,,51511039.0,ns,4
04 recur,recur_cwd,5,,,51548686.0,ns,4
04 recur,recur_cwd,5,,,51659681.0,ns,4
04 recur,recur_cwd,5,,,51573286.0,ns,4
04 recur,recur_cwd,5,,,51588511.0,ns,4
04 recur,recur_cwd,5,,,51545838.0,ns,4
04 recur,recur_cwd,5,,,52420264.0,ns,4
04 recur,recur_cwd,5,,,51581006.0,ns,4
04 recur,recur_cwd,5,,,51540851.0,ns,4
04 recur,recur_cwd,5,,,51454758.0,ns,4
04 recur,recur_cwd,5,,,51522680.0,ns,4
04 recur,recur_cwd,5,,,51580076.0,ns,4
04 recur,recur_cwd,5,,,51503594.0,ns,4
04 recur,recur_cwd,5,,,51642759.0,ns,4
04 recur,recur_cwd,5,,,51661624.0,ns,4
04 recur,recur_cwd,5,,,51606593.0,ns,4
04 recur,recur_cwd,5,,,51541519.0,ns,4
04 recur,recur_cwd,5,,,51550593.0,ns,4
04 recur,recur_cwd,5,,,51534078.0,ns,4
04 recur,recur_cwd,5,,,51624291.0,ns,4
04 recur,recur_cwd,5,,,51570362.0,ns,4
04 recur,recur_cwd,5,,,51574110.0,ns,4
04 recur,recur_cwd,5,,,51593731.0,ns,4
04 recur,recur_cwd,5,,,51662691.0,ns,4
04 recur,recur_cwd,5,,,51563153.0,ns,4
