group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
04 recur,recur_hyb,5,,,98325373.0,ns,2
04 recur,recur_hyb,5,,,97924394.0,ns,2
04 recur,recur_hyb,5,,,104361522.0,ns,2
04 recur,recur_hyb,5,,,98062095.0,ns,2
04 recur,recur_hyb,5,,,98016366.0,ns,2
04 recur,recur_hyb,5,,,98025763.0,ns,2
04 recur,recur_hyb,5,,,97985714.0,ns,2
04 recur,recur_hyb,5,,,98024489.0,ns,2
04 recur,recur_hyb,5,,,98141743.0,ns,2
04 recur,recur_hyb,5,,,97842645.0,ns,2
04 recur,recur_hyb,5,,,98278172.0,ns,2
04 recur,recur_hyb,5,,,98170138.0,ns,2
04 recur,recur_hyb,5,,,99024813.0,ns,2
04 recur,recur_hyb,5,,,97840245.0,ns,2
04 recur,recur_hyb,5,,,98200858.0,ns,2
04 recur,recur_hyb,5,,,98256604.0,ns,2
04 recur,recur_hyb,5,,,98014042.0,ns,2
04 recur,recur_hyb,5,,,98226239.0,ns,2
04 recur,recur_hyb,5,,,98068524.0,ns,2
04 recur,recur_hyb,5,,,98543708.0,ns,2
04 recur,recur_hyb,5,,,98175996.0,ns,2
04 recur,recur_hyb,5,,,98135218.0,ns,2
04 recur,recur_hyb,5,,,98217836.0,ns,2
04 recur,recur_hyb,5,,,98718150.0,ns,2
04 recur,recur_hyb,5,,,98620546.0,ns,2
04 recur,recur_hyb,5,,,98075097.0,ns,2
04 recur,recur_hyb,5,,,98618628.0,ns,2
04 recur,recur_hyb,5,,,97969003.0,ns,2
04 recur,recur_hyb,5,,,97967762.0,ns,2
04 recur,recur_hyb,5,,,97975825.0,ns,2
04 recur,recur_hyb,5,,,98058741.0,ns,2
04 recur,recur_hyb,5,,,97831042.0,ns,2
04 recur,recur_hyb,5,,,98298180.0,ns,2
04 recur,recur_hyb,5,,,98450621.0,ns,2
04 recur,recur_hyb,5,,,98175759.0,ns,2
04 recur,recur_hyb,5,,,98226188.0,ns,2
04 recur,recur_hyb,5,,,97766205.0,ns,2
04 recur,recur_hyb,5,,,98020746.0,ns,2
04 recur,recur_hyb,5,,,98101534.0,ns,2
04 recur,recur_hyb,5,,,98189854.0,ns,2
04 recur,recur_hyb,5,,,97798411.0,ns,2
04 recur,recur_hyb,5,,,98021159.0,ns,2
04 recur,recur_hyb,5,,,98606608.0,ns,2
04 recur,recur_hyb,5,,,97899959.0,ns,2
04 recur,recur_hyb,5,,,98400670.0,ns,2
04 recur,recur_hyb,5,,,98313950.0,ns,2
04 recur,recur_hyb,5,,,97968442.0,ns,2
04 recur,recur_hyb,5,,,97902308.0,ns,2
04 recur,recur_hyb,5,,,98264024.0,ns,2
04 recur,recur_hyb,5,,,97892483.0,ns,2
04 recur,recur_hyb,5,,,98070185.0,ns,2
04 recur,recur_hyb,5,,,98114104.0,ns,2
04 recur,recur_hyb,5,,,98042573.0,ns,2
04 recur,recur_hyb,5,,,98284030.0,ns,2
04 recur,recur_hyb,5,,,98367704.0,ns,2
04 recur,recur_hyb,5,,,98807966.0,ns,2
04 recur,recur_hyb,5,,,98082463.0,ns,2
04 recur,recur_hyb,5,,,98073916.0,ns,2
04 recur,recur_hyb,5,,,97945790.0,ns,2
04 recur,recur_hyb,5,,,98085815.0,ns,2
04 recur,recur_hyb,5,,,98173759.0,ns,2
04 recur,recur_hyb,5,,,98166407.0,ns,2
04 recur,recur_hyb,5,,,98296889.0,ns,2
04 recur,recur_hyb,5,,,98079451.0,ns,2
04 recur,recur_hyb,5,,,98372456.0,ns,2
04 recur,recur_hyb,5,,,98267590.0,ns,2
04 recur,recur_hyb,5,,,98119931.0,ns,2
04 recur,recur_hyb,5,,,97906193.0,ns,2
04 recur,recur_hyb,5,,,98330432.0,ns,2
04 recur,recur_hyb,5,,,97938549.0,ns,2
04 recur,recur_hyb,5,,,98158169.0,ns,2
04 recur,recur_hyb,5,,,97903864.0,ns,2
04 recur,recur_hyb,5,,,98206070.0,ns,2
04 recur,recur_hyb,5,,,98222973.0,ns,2
04 recur,recur_hyb,5,,,98024863.0,ns,2
04 recur,recur_hyb,5,,,98291676.0,ns,2
04 recur,recur_hyb,5,,,98280507.0,ns,2
04 recur,recur_hyb,5,,,98322656.0,ns,2
04 recur,recur_hyb,5,,,97992219.0,ns,2
04 recur,recur_hyb,5,,,97930357.0,ns,2
04 recur,recur_hyb,5,,,98098984.0,ns,2
04 recur,recur_hyb,5,,,98252998.0,ns,2
04 recur,recur_hyb,5,,,97791956.0,ns,2
04 recur,recur_hyb,5,,,98052815.0,ns,2
04 recur,recur_hyb,5,,,98427555.0,ns,2
04 recur,recur_hyb,5,,,98943062.0,ns,2
04 recur,recur_hyb,5,,,98143536.0,ns,2
04 recur,recur_hyb,5,,,98028367.0,ns,2
04 recur,recur_hyb,5,,,98171416.0,ns,2
04 recur,recur_hyb,5,,,98247017.0,ns,2
04 recur,recur_hyb,5,,,98087103.0,ns,2
04 recur,recur_hyb,5,,,98125851.0,ns,2
04 recur,recur_hyb,5,,,98162905.0,ns,2
04 recur,recur_hyb,5,,,98211758.0,ns,2
04 recur,recur_hyb,5,,,98706417.0,ns,2
04 recur,recur_hyb,5,,,98066253.0,ns,2
04 recur,recur_hyb,5,,,98362824.0,ns,2
04 recur,recur_hyb,5,,,98065873.0,ns,2
04 recur,recur_hyb,5,,,98023890.0,ns,2
04 recur,recur_hyb,5,,,98320039.0,ns,2
