group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
04 recur,recur_par,5,,,562815143.0,ns,1
04 recur,recur_par,5,,,558191499.0,ns,1
04 recur,recur_par,5,,,556822493.0,ns,1
04 recur,recur_par,5,,,557703115.0,ns,1
04 recur,recur_par,5,,,554333369.0,ns,1
04 recur,recur_par,5,,,555152567.0,ns,1
04 recur,recur_par,5,,,554773557.0,ns,1
04 recur,recur_par,5,,,555922189.0,ns,1
04 recur,recur_par,5,,,555282615.0,ns,1
04 recur,recur_par,5,,,559142832.0,ns,1
04 recur,recur_par,5,,,554419135.0,ns,1
04 recur,recur_par,5,,,556281033.0,ns,1
04 recur,recur_par,5,,,555497085.0,ns,1
04 recur,recur_par,5,,,556579324.0,ns,1
04 recur,recur_par,5,,,559679200.0,ns,1
04 recur,recur_par,5,,,556377450.0,ns,1
04 recur,recur_par,5,,,555713545.0,ns,1
04 recur,recur_par,5,,,557996080.0,ns,1
04 recur,recur_par,5,,,560888040.0,ns,1
04 recur,recur_par,5,,,555488808.0,ns,1
04 recur,recur_par,5,,,554863157.0,ns,1
04 recur,recur_par,5,,,556412071.0,ns,1
04 recur,recur_par,5,,,556607171.0,ns,1
04 recur,recur_par,5,,,557097102.0,ns,1
04 recur,recur_par,5,,,557806965.0,ns,1
04 recur,recur_par,5,,,557359892.0,ns,1
04 recur,recur_par,5,,,569425434.0,ns,1
04 recur,recur_par,5,,,574902181.0,ns,1
04 recur,recur_par,5,,,558588440.0,ns,1
04 recur,recur_par,5,,,563424793.0,ns,1
04 recur,recur_par,5,,,573779455.0,ns,1
04 recur,recur_par,5,,,576113540.0,ns,1
04 recur,recur_par,5,,,556982163.0,ns,1
04 recur,recur_par,5,,,565054758.0,ns,1
04 recur,recur_par,5,,,561603217.0,ns,1
04 recur,recur_par,5,,,572646491.0,ns,1
04 recur,recur_par,5,,,574228732.0,ns,1
04 recur,recur_par,5,,,558434698.0,ns,1
04 recur,recur_par,5,,,564776349.0,ns,1
04 recur,recur_par,5,,,576814773.0,ns,1
04 recur,recur_par,5,,,570073800.0,ns,1
04 recur,recur_par,5,,,559400948.0,ns,1
04 recur,recur_par,5,,,572302866.0,ns,1
04 recur,recur_par,5,,,571398342.0,ns,1
04 recur,recur_par,5,,,560891014.0,ns,1
04 recur,recur_par,5,,,565219705.0,ns,1
04 recur,recur_par,5,,,580760526.0,ns,1
04 recur,recur_par,5,,,566201587.0,ns,1
04 recur,recur_par,5,,,560590321.0,ns,1
04 recur,recur_par,5,,,571932379.0,ns,1
04 recur,recur_par,5,,,575018122.0,ns,1
04 recur,recur_par,5,,,563166628.0,ns,1
04 recur,recur_par,5,,,568065077.0,ns,1
04 recur,recur_par,5,,,573994580.0,ns,1
04 recur,recur_par,5,,,568197802.0,ns,1
04 recur,recur_par,5,,,565771236.0,ns,1
04 recur,recur_par,5,,,570997136.0,ns,1
04 recur,recur_par,5,,,579433870.0,ns,1
04 recur,recur_par,5,,,562893117.0,ns,1
04 recur,recur_par,5,,,575279992.0,ns,1
04 recur,recur_par,5,,,577559599.0,ns,1
04 recur,recur_par,5,,,569471316.0,ns,1
04 recur,recur_par,5,,,574343266.0,ns,1
04 recur,recur_par,5,,,577753817.0,ns,1
04 recur,recur_par,5,,,572426881.0,ns,1
04 recur,recur_par,5,,,568619025.0,ns,1
04 recur,recur_par,5,,,570017923.0,ns,1
04 recur,recur_par,5,,,573427839.0,ns,1
04 recur,recur_par,5,,,572685038.0,ns,1
04 recur,recur_par,5,,,576397935.0,ns,1
04 recur,recur_par,5,,,572698207.0,ns,1
04 recur,recur_par,5,,,569799202.0,ns,1
04 recur,recur_par,5,,,575459686.0,ns,1
04 recur,recur_par,5,,,598906523.0,ns,1
04 recur,recur_par,5,,,579194478.0,ns,1
04 recur,recur_par,5,,,572944403.0,ns,1
04 recur,recur_par,5,,,569258187.0,ns,1
04 recur,recur_par,5,,,572113871.0,ns,1
04 recur,recur_par,5,,,577747242.0,ns,1
04 recur,recur_par,5,,,574646242.0,ns,1
04 recur,recur_par,5,,,583481020.0,ns,1
04 recur,recur_par,5,,,572091660.0,ns,1
04 recur,recur_par,5,,,572043283.0,ns,1
04 recur,recur_par,5,,,575359534.0,ns,1
04 recur,recur_par,5,,,573904619.0,ns,1
04 recur,recur_par,5,,,574276461.0,ns,1
04 recur,recur_par,5,,,576618335.0,ns,1
04 recur,recur_par,5,,,573949499.0,ns,1
04 recur,recur_par,5,,,605127179.0,ns,1
04 recur,recur_par,5,,,609644182.0,ns,1
04 recur,recur_par,5,,,596782539.0,ns,1
04 recur,recur_par,5,,,593293879.0,ns,1
04 recur,recur_par,5,,,591921326.0,ns,1
04 recur,recur_par,5,,,591150709.0,ns,1
04 recur,recur_par,5,,,590745555.0,ns,1
04 recur,recur_par,5,,,593653839.0,ns,1
04 recur,recur_par,5,,,590550801.0,ns,1
04 recur,recur_par,5,,,591533863.0,ns,1
04 recur,recur_par,5,,,598742427.0,ns,1
04 recur,recur_par,5,,,594387633.0,ns,1
