group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
04 recur,recur_seq,5,,,234179231.0,ns,1
04 recur,recur_seq,5,,,234106929.0,ns,1
04 recur,recur_seq,5,,,233256993.0,ns,1
04 recur,recur_seq,5,,,232292460.0,ns,1
04 recur,recur_seq,5,,,231580736.0,ns,1
04 recur,recur_seq,5,,,232127093.0,ns,1
04 recur,recur_seq,5,,,231821421.0,ns,1
04 recur,recur_seq,5,,,230883932.0,ns,1
04 recur,recur_seq,5,,,231388809.0,ns,1
04 recur,recur_seq,5,,,230380215.0,ns,1
04 recur,recur_seq,5,,,229470395.0,ns,1
04 recur,recur_seq,5,,,230476131.0,ns,1
04 recur,recur_seq,5,,,230518453.0,ns,1
04 recur,recur_seq,5,,,229319100.0,ns,1
04 recur,recur_seq,5,,,228511788.0,ns,1
04 recur,recur_seq,5,,,229389350.0,ns,1
04 recur,recur_seq,5,,,228225886.0,ns,1
04 recur,recur_seq,5,,,228620080.0,ns,1
04 recur,recur_seq,5,,,228268340.0,ns,1
04 recur,recur_seq,5,,,228223172.0,ns,1
04 recur,recur_seq,5,,,228251415.0,ns,1
04 recur,recur_seq,5,,,227544821.0,ns,1
04 recur,recur_seq,5,,,227893090.0,ns,1
04 recur,recur_seq,5,,,228155112.0,ns,1
04 recur,recur_seq,5,,,227587798.0,ns,1
04 recur,recur_seq,5,,,227090130.0,ns,1
04 recur,recur_seq,5,,,227154419.0,ns,1
04 recur,recur_seq,5,,,226763122.0,ns,1
04 recur,recur_seq,5,,,226617280.0,ns,1
04 recur,recur_seq,5,,,227061012.0,ns,1
04 recur,recur_seq,5,,,225697704.0,ns,1
04 recur,recur_seq,5,,,226341515.0,ns,1
04 recur,recur_seq,5,,,225938431.0,ns,1
04 recur,recur_seq,5,,,225886446.0,ns,1
04 recur,recur_seq,5,,,225790586.0,ns,1
04 recur,recur_seq,5,,,226126362.0,ns,1
04 recur,recur_seq,5,,,225536657.0,ns,1
04 recur,recur_seq,5,,,225309937.0,ns,1
04 recur,recur_seq,5,,,225018319.0,ns,1
04 recur,recur_seq,5,,,234786670.0,ns,1
04 recur,recur_seq,5,,,237970828.0,ns,1
04 recur,recur_seq,5,,,224453146.0,ns,1
04 recur,recur_seq,5,,,224013971.0,ns,1
04 recur,recur_seq,5,,,223805059.0,ns,1
04 recur,recur_seq,5,,,223757899.0,ns,1
04 recur,recur_seq,5,,,223776651.0,ns,1
04 recur,recur_seq,5,,,235059667.0,ns,1
04 recur,recur_seq,5,,,236690508.0,ns,1
04 recur,recur_seq,5,,,237777386.0,ns,1
04 recur,recur_seq,5,,,235429836.0,ns,1
04 recur,recur_seq,5,,,222606601.0,ns,1
04 recur,recur_seq,5,,,222055131.0,ns,1
04 recur,recur_seq,5,,,222079734.0,ns,1
04 recur,recur_seq,5,,,221773308.0,ns,1
04 recur,recur_seq,5,,,229868385.0,ns,1
04 recur,recur_seq,5,,,236517468.0,ns,1
04 recur,recur_seq,5,,,237130235.0,ns,1
04 recur,recur_seq,5,,,237616407.0,ns,1
04 recur,recur_seq,5,,,231853487.0,ns,1
04 recur,recur_seq,5,,,223092625.0,ns,1
04 recur,recur_seq,5,,,222431373.0,ns,1
04 recur,recur_seq,5,,,222107336.0,ns,1
04 recur,recur_seq,5,,,222537720.0,ns,1
04 recur,recur_seq,5,,,234941131.0,ns,1
04 recur,recur_seq,5,,,235992601.0,ns,1
04 recur,recur_seq,5,,,236486461.0,ns,1
04 recur,recur_seq,5,,,236998535.0,ns,1
04 recur,recur_seq,5,,,227694060.0,ns,1
04 recur,recur_seq,5,,,222064215.0,ns,1
04 recur,recur_seq,5,,,222673977.0,ns,1
04 recur,recur_seq,5,,,222913528.0,ns,1
04 recur,recur_seq,5,,,222715599.0,ns,1
04 recur,recur_seq,5,,,223062349.0,ns,1
04 recur,recur_seq,5,,,222074702.0,ns,1
04 recur,recur_seq,5,,,222498648.0,ns,1
04 recur,recur_seq,5,,,222664332.0,ns,1
04 recur,recur_seq,5,,,222105205.0,ns,1
04 recur,recur_seq,5,,,222867509.0,ns,1
04 recur,recur_seq,5,,,222065561.0,ns,1
04 recur,recur_seq,5,,,222136629.0,ns,1
04 recur,recur_seq,5,,,222038829.0,ns,1
04 recur,recur_seq,5,,,222102108.0,ns,1
04 recur,recur_seq,5,,,222030252.0,ns,1
04 recur,recur_seq,5,,,221781960.0,ns,1
04 recur,recur_seq,5,,,223151660.0,ns,1
04 recur,recur_seq,5,,,222046549.0,ns,1
04 recur,recur_seq,5,,,221648052.0,ns,1
04 recur,recur_seq,5,,,221846787.0,ns,1
04 recur,recur_seq,5,,,221518689.0,ns,1
04 recur,recur_seq,5,,,222056891.0,ns,1
04 recur,recur_seq,5,,,221639446.0,ns,1
04 recur,recur_seq,5,,,221667163.0,ns,1
04 recur,recur_seq,5,,,221380146.0,ns,1
04 recur,recur_seq,5,,,221712483.0,ns,1
04 recur,recur_seq,5,,,222008423.0,ns,1
04 recur,recur_seq,5,,,221685773.0,ns,1
04 recur,recur_seq,5,,,221154621.0,ns,1
04 recur,recur_seq,5,,,221848938.0,ns,1
04 recur,recur_seq,5,,,221369083.0,ns,1
04 recur,recur_seq,5,,,221630909.0,ns,1
