group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
05 recur_opti,recur_cwd_opti,5,,,998357.0,ns,26
05 recur_opti,recur_cwd_opti,5,,,2013387.0,ns,52
05 recur_opti,recur_cwd_opti,5,,,3070993.0,ns,78
05 recur_opti,recur_cwd_opti,5,,,4041225.0,ns,104
05 recur_opti,recur_cwd_opti,5,,,5169901.0,ns,130
05 recur_opti,recur_cwd_opti,5,,,6251208.0,ns,156
05 recur_opti,recur_cwd_opti,5,,,7304429.0,ns,182
05 recur_opti,recur_cwd_opti,5,,,8172427.0,ns,208
05 recur_opti,recur_cwd_opti,5,,,9043090.0,ns,234
05 recur_opti,recur_cwd_opti,5,,,11104983.0,ns,260
05 recur_opti,recur_cwd_opti,5,,,11374364.0,ns,286
05 recur_opti,recur_cwd_opti,5,,,13143779.0,ns,312
05 recur_opti,recur_cwd_opti,5,,,13159942.0,ns,338
05 recur_opti,recur_cwd_opti,5,,,14559562.0,ns,364
05 recur_opti,recur_cwd_opti,5,,,15704450.0,ns,390
05 recur_opti,recur_cwd_opti,5,,,16141079.0,ns,416
05 recur_opti,recur_cwd_opti,5,,,17782916.0,ns,442
05 recur_opti,recur_cwd_opti,5,,,18240149.0,ns,468
05 recur_opti,recur_cwd_opti,5,,,19601510.0,ns,494
05 recur_opti,recur_cwd_opti,5,,,21963756.0,ns,520
05 recur_opti,recur_cwd_opti,5,,,22247925.0,ns,546
05 recur_opti,recur_cwd_opti,5,,,23166167.0,ns,572
05 recur_opti,recur_cwd_opti,5,,,23686697.0,ns,598
05 recur_opti,recur_cwd_opti,5,,,24630660.0,ns,624
05 recur_opti,recur_cwd_opti,5,,,26391483.0,ns,650
05 recur_opti,recur_cwd_opti,5,,,27007314.0,ns,676
05 recur_opti,recur_cwd_opti,5,,,28034758.0,ns,702
05 recur_opti,recur_cwd_opti,5,,,28966033.0,ns,728
05 recur_opti,recur_cwd_opti,5,,,30556953.0,ns,754
05 recur_opti,recur_cwd_opti,5,,,29948311.0,ns,780
05 recur_opti,recur_cwd_opti,5,,,31168983.0,ns,806
05 recur_opti,recur_cwd_opti,5,,,32138456.0,ns,832
05 recur_opti,recur_cwd_opti,5,,,33087721.0,ns,858
05 recur_opti,recur_cwd_opti,5,,,34064065.0,ns,884
05 recur_opti,recur_cwd_opti,5,,,35287455.0,ns,910
05 recur_opti,recur_cwd_opti,5,,,36121106.0,ns,936
05 recur_opti,recur_cwd_opti,5,,,37297936.0,ns,962
05 recur_opti,recur_cwd_opti,5,,,38042653.0,ns,988
05 recur_opti,recur_cwd_opti,5,,,39042239.0,ns,1014
05 recur_opti,recur_cwd_opti,5,,,39933373.0,ns,1040
05 recur_opti,recur_cwd_opti,5,,,40718642.0,ns,1066
05 recur_opti,recur_cwd_opti,5,,,41875216.0,ns,1092
05 recur_opti,recur_cwd_opti,5,,,43227406.0,ns,1118
05 recur_opti,recur_cwd_opti,5,,,42195755.0,ns,1144
05 recur_opti,recur_cwd_opti,5,,,44380876.0,ns,1170
05 recur_opti,recur_cwd_opti,5,,,46155917.0,ns,1196
05 recur_opti,recur_cwd_opti,5,,,47553275.0,ns,1222
05 recur_opti,recur_cwd_opti,5,,,48119486.0,ns,1248
05 recur_opti,recur_cwd_opti,5,,,48835996.0,ns,1274
05 recur_opti,recur_cwd_opti,5,,,49562672.0,ns,1300
05 recur_opti,recur_cwd_opti,5,,,51185785.0,ns,1326
05 recur_opti,recur_cwd_opti,5,,,53057092.0,ns,1352
05 recur_opti,recur_cwd_opti,5,,,54953547.0,ns,1378
05 recur_opti,recur_cwd_opti,5,,,55477386.0,ns,1404
05 recur_opti,recur_cwd_opti,5,,,57273735.0,ns,1430
05 recur_opti,recur_cwd_opti,5,,,57260920.0,ns,1456
05 recur_opti,recur_cwd_opti,5,,,58784858.0,ns,1482
05 recur_opti,recur_cwd_opti,5,,,59687344.0,ns,1508
05 recur_opti,recur_cwd_opti,5,,,60830113.0,ns,1534
05 recur_opti,recur_cwd_opti,5,,,62022851.0,ns,1560
05 recur_opti,recur_cwd_opti,5,,,62725954.0,ns,1586
05 recur_opti,recur_cwd_opti,5,,,64143128.0,ns,1612
05 recur_opti,recur_cwd_opti,5,,,64712031.0,ns,1638
05 recur_opti,recur_cwd_opti,5,,,66438657.0,ns,1664
05 recur_opti,recur_cwd_opti,5,,,66720717.0,ns,1690
05 recur_opti,recur_cwd_opti,5,,,70157594.0,ns,1716
05 recur_opti,recur_cwd_opti,5,,,68825203.0,ns,1742
05 recur_opti,recur_cwd_opti,5,,,70728845.0,ns,1768
05 recur_opti,recur_cwd_opti,5,,,71518569.0,ns,1794
05 recur_opti,recur_cwd_opti,5,,,70173254.0,ns,1820
05 recur_opti,recur_cwd_opti,5,,,70990845.0,ns,1846
05 recur_opti,recur_cwd_opti,5,,,72217677.0,ns,1872
