group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
05 recur_opti,recur_hyb_opti,5,,,1010938.0,ns,13
05 recur_opti,recur_hyb_opti,5,,,2130129.0,ns,26
05 recur_opti,recur_hyb_opti,5,,,2986159.0,ns,39
05 recur_opti,recur_hyb_opti,5,,,4037473.0,ns,52
05 recur_opti,recur_hyb_opti,5,,,5093620.0,ns,65
05 recur_opti,recur_hyb_opti,5,,,6098224.0,ns,78
05 recur_opti,recur_hyb_opti,5,,,7088372.0,ns,91
05 recur_opti,recur_hyb_opti,5,,,8058565.0,ns,104
05 recur_opti,recur_hyb_opti,5,,,9203779.0,ns,117
05 recur_opti,recur_hyb_opti,5,,,10477189.0,ns,130
05 recur_opti,recur_hyb_opti,5,,,11465187.0,ns,143
05 recur_opti,recur_hyb_opti,5,,,12554756.0,ns,156
05 recur_opti,recur_hyb_opti,5,,,13484026.0,ns,169
05 recur_opti,recur_hyb_opti,5,,,14591654.0,ns,182
05 recur_opti,recur_hyb_opti,5,,,15458166.0,ns,195
05 recur_opti,recur_hyb_opti,5,,,16179522.0,ns,208
05 recur_opti,recur_hyb_opti,5,,,17260079.0,ns,221
05 recur_opti,recur_hyb_opti,5,,,18075773.0,ns,234
05 recur_opti,recur_hyb_opti,5,,,19207586.0,ns,247
05 recur_opti,recur_hyb_opti,5,,,22843612.0,ns,260
05 recur_opti,recur_hyb_opti,5,,,22117915.0,ns,273
05 recur_opti,recur_hyb_opti,5,,,22171732.0,ns,286
05 recur_opti,recur_hyb_opti,5,,,23724260.0,ns,299
05 recur_opti,recur_hyb_opti,5,,,25139407.0,ns,312
05 recur_opti,recur_hyb_opti,5,,,26042743.0,ns,325
05 recur_opti,recur_hyb_opti,5,,,26683320.0,ns,338
05 recur_opti,recur_hyb_opti,5,,,27212188.0,ns,351
05 recur_opti,recur_hyb_opti,5,,,28310523.0,ns,364
05 recur_opti,recur_hyb_opti,5,,,29334595.0,ns,377
05 recur_opti,recur_hyb_opti,5,,,30737205.0,ns,390
05 recur_opti,recur_hyb_opti,5,,,32374909.0,ns,403
05 recur_opti,recur_hyb_opti,5,,,33540426.0,ns,416
05 recur_opti,recur_hyb_opti,5,,,33619543.0,ns,429
05 recur_opti,recur_hyb_opti,5,,,35705834.0,ns,442
05 recur_opti,recur_hyb_opti,5,,,36943797.0,ns,455
05 recur_opti,recur_hyb_opti,5,,,38023879.0,ns,468
05 recur_opti,recur_hyb_opti,5,,,39332887.0,ns,481
05 recur_opti,recur_hyb_opti,5,,,40265275.0,ns,494
05 recur_opti,recur_hyb_opti,5,,,41795616.0,ns,507
05 recur_opti,recur_hyb_opti,5,,,42309363.0,ns,520
05 recur_opti,recur_hyb_opti,5,,,43750899.0,ns,533
05 recur_opti,recur_hyb_opti,5,,,44432846.0,ns,546
05 recur_opti,recur_hyb_opti,5,,,45603615.0,ns,559
05 recur_opti,recur_hyb_opti,5,,,46763857.0,ns,572
05 recur_opti,recur_hyb_opti,5,,,48304637.0,ns,585
05 recur_opti,recur_hyb_opti,5,,,48433227.0,ns,598
05 recur_opti,recur_hyb_opti,5,,,49805344.0,ns,611
05 recur_opti,recur_hyb_opti,5,,,51238642.0,ns,624
05 recur_opti,recur_hyb_opti,5,,,51708543.0,ns,637
05 recur_opti,recur_hyb_opti,5,,,53361367.0,ns,650
05 recur_opti,recur_hyb_opti,5,,,53717482.0,ns,663
05 recur_opti,recur_hyb_opti,5,,,55541413.0,ns,676
05 recur_opti,recur_hyb_opti,5,,,56322338.0,ns,689
05 recur_opti,recur_hyb_opti,5,,,57652051.0,ns,702
05 recur_opti,recur_hyb_opti,5,,,60670432.0,ns,715
