group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
05 recur_opti,recur_par_opti,5,,,1024549.0,ns,9
05 recur_opti,recur_par_opti,5,,,2079920.0,ns,18
05 recur_opti,recur_par_opti,5,,,3018538.0,ns,27
05 recur_opti,recur_par_opti,5,,,4009902.0,ns,36
05 recur_opti,recur_par_opti,5,,,4958004.0,ns,45
05 recur_opti,recur_par_opti,5,,,5959671.0,ns,54
05 recur_opti,recur_par_opti,5,,,6986084.0,ns,63
05 recur_opti,recur_par_opti,5,,,7996956.0,ns,72
05 recur_opti,recur_par_opti,5,,,8986977.0,ns,81
05 recur_opti,recur_par_opti,5,,,10040299.0,ns,90
05 recur_opti,recur_par_opti,5,,,10974289.0,ns,99
05 recur_opti,recur_par_opti,5,,,11945846.0,ns,108
05 recur_opti,recur_par_opti,5,,,12969743.0,ns,117
05 recur_opti,recur_par_opti,5,,,13997695.0,ns,126
05 recur_opti,recur_par_opti,5,,,15487526.0,ns,135
05 recur_opti,recur_par_opti,5,,,16519503.0,ns,144
05 recur_opti,recur_par_opti,5,,,17609612.0,ns,153
05 recur_opti,recur_par_opti,5,,,18093939.0,ns,162
05 recur_opti,recur_par_opti,5,,,18920531.0,ns,171
05 recur_opti,recur_par_opti,5,,,22494615.0,ns,180
05 recur_opti,recur_par_opti,5,,,22339211.0,ns,189
05 recur_opti,recur_par_opti,5,,,22725276.0,ns,198
05 recur_opti,recur_par_opti,5,,,22967121.0,ns,207
05 recur_opti,recur_par_opti,5,,,24004612.0,ns,216
05 recur_opti,recur_par_opti,5,,,25070900.0,ns,225
05 recur_opti,recur_par_opti,5,,,25897337.0,ns,234
05 recur_opti,recur_par_opti,5,,,27030136.0,ns,243
05 recur_opti,recur_par_opti,5,,,28021954.0,ns,252
05 recur_opti,recur_par_opti,5,,,29065008.0,ns,261
05 recur_opti,recur_par_opti,5,,,30026848.0,ns,270
05 recur_opti,recur_par_opti,5,,,31031543.0,ns,279
05 recur_opti,recur_par_opti,5,,,31829642.0,ns,288
05 recur_opti,recur_par_opti,5,,,32985422.0,ns,297
05 recur_opti,recur_par_opti,5,,,34057441.0,ns,306
05 recur_opti,recur_par_opti,5,,,34935551.0,ns,315
05 recur_opti,recur_par_opti,5,,,36045217.0,ns,324
05 recur_opti,recur_par_opti,5,,,37079579.0,ns,333
05 recur_opti,recur_par_opti,5,,,38019250.0,ns,342
05 recur_opti,recur_par_opti,5,,,38949023.0,ns,351
05 recur_opti,recur_par_opti,5,,,40219824.0,ns,360
05 recur_opti,recur_par_opti,5,,,41160322.0,ns,369
05 recur_opti,recur_par_opti,5,,,41991329.0,ns,378
05 recur_opti,recur_par_opti,5,,,43020608.0,ns,387
05 recur_opti,recur_par_opti,5,,,44281261.0,ns,396
05 recur_opti,recur_par_opti,5,,,45036857.0,ns,405
05 recur_opti,recur_par_opti,5,,,45833431.0,ns,414
05 recur_opti,recur_par_opti,5,,,46960689.0,ns,423
05 recur_opti,recur_par_opti,5,,,48591774.0,ns,432
05 recur_opti,recur_par_opti,5,,,50673728.0,ns,441
05 recur_opti,recur_par_opti,5,,,50498981.0,ns,450
05 recur_opti,recur_par_opti,5,,,51846019.0,ns,459
05 recur_opti,recur_par_opti,5,,,52619154.0,ns,468
05 recur_opti,recur_par_opti,5,,,52968709.0,ns,477
05 recur_opti,recur_par_opti,5,,,56015813.0,ns,486
05 recur_opti,recur_par_opti,5,,,54908468.0,ns,495
05 recur_opti,recur_par_opti,5,,,56070317.0,ns,504
05 recur_opti,recur_par_opti,5,,,57088961.0,ns,513
05 recur_opti,recur_par_opti,5,,,57939892.0,ns,522
05 recur_opti,recur_par_opti,5,,,59256983.0,ns,531
05 recur_opti,recur_par_opti,5,,,60340986.0,ns,540
05 recur_opti,recur_par_opti,5,,,61476727.0,ns,549
05 recur_opti,recur_par_opti,5,,,62397649.0,ns,558
05 recur_opti,recur_par_opti,5,,,63457096.0,ns,567
05 recur_opti,recur_par_opti,5,,,64549148.0,ns,576
05 recur_opti,recur_par_opti,5,,,65730421.0,ns,585
05 recur_opti,recur_par_opti,5,,,67574212.0,ns,594
05 recur_opti,recur_par_opti,5,,,70815477.0,ns,603
