group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
05 recur_opti,recur_seq_opti,5,,,1027267.0,ns,12
05 recur_opti,recur_seq_opti,5,,,1959961.0,ns,24
05 recur_opti,recur_seq_opti,5,,,2934741.0,ns,36
05 recur_opti,recur_seq_opti,5,,,3914942.0,ns,48
05 recur_opti,recur_seq_opti,5,,,4920194.0,ns,60
05 recur_opti,recur_seq_opti,5,,,6072023.0,ns,72
05 recur_opti,recur_seq_opti,5,,,7034271.0,ns,84
05 recur_opti,recur_seq_opti,5,,,8054487.0,ns,96
05 recur_opti,recur_seq_opti,5,,,8897779.0,ns,108
05 recur_opti,recur_seq_opti,5,,,9783581.0,ns,120
05 recur_opti,recur_seq_opti,5,,,10766562.0,ns,132
05 recur_opti,recur_seq_opti,5,,,11996450.0,ns,144
05 recur_opti,recur_seq_opti,5,,,12826371.0,ns,156
05 recur_opti,recur_seq_opti,5,,,13716409.0,ns,168
05 recur_opti,recur_seq_opti,5,,,14973749.0,ns,180
05 recur_opti,recur_seq_opti,5,,,15937403.0,ns,192
05 recur_opti,recur_seq_opti,5,,,16977168.0,ns,204
05 recur_opti,recur_seq_opti,5,,,17805729.0,ns,216
05 recur_opti,recur_seq_opti,5,,,19101403.0,ns,228
05 recur_opti,recur_seq_opti,5,,,20160968.0,ns,240
05 recur_opti,recur_seq_opti,5,,,21118050.0,ns,252
05 recur_opti,recur_seq_opti,5,,,21616614.0,ns,264
05 recur_opti,recur_seq_opti,5,,,22968215.0,ns,276
05 recur_opti,recur_seq_opti,5,,,23884788.0,ns,288
05 recur_opti,recur_seq_opti,5,,,24715856.0,ns,300
05 recur_opti,recur_seq_opti,5,,,26027241.0,ns,312
05 recur_opti,recur_seq_opti,5,,,26489839.0,ns,324
05 recur_opti,recur_seq_opti,5,,,27447113.0,ns,336
05 recur_opti,recur_seq_opti,5,,,29001825.0,ns,348
05 recur_opti,recur_seq_opti,5,,,29825484.0,ns,360
05 recur_opti,recur_seq_opti,5,,,30940302.0,ns,372
05 recur_opti,recur_seq_opti,5,,,31398325.0,ns,384
05 recur_opti,recur_seq_opti,5,,,32770927.0,ns,396
05 recur_opti,recur_seq_opti,5,,,33769460.0,ns,408
05 recur_opti,recur_seq_opti,5,,,34384272.0,ns,420
05 recur_opti,recur_seq_opti,5,,,35831439.0,ns,432
05 recur_opti,recur_seq_opti,5,,,36637336.0,ns,444
05 recur_opti,recur_seq_opti,5,,,37650005.0,ns,456
05 recur_opti,recur_seq_opti,5,,,38260421.0,ns,468
05 recur_opti,recur_seq_opti,5,,,39196085.0,ns,480
05 recur_opti,recur_seq_opti,5,,,40466399.0,ns,492
05 recur_opti,recur_seq_opti,5,,,41237198.0,ns,504
05 recur_opti,recur_seq_opti,5,,,42429811.0,ns,516
05 recur_opti,recur_seq_opti,5,,,43361837.0,ns,528
05 recur_opti,recur_seq_opti,5,,,45027999.0,ns,540
05 recur_opti,recur_seq_opti,5,,,45130047.0,ns,552
05 recur_opti,recur_seq_opti,5,,,46194021.0,ns,564
05 recur_opti,recur_seq_opti,5,,,47471378.0,ns,576
05 recur_opti,recur_seq_opti,5,,,48064683.0,ns,588
05 recur_opti,recur_seq_opti,5,,,49715840.0,ns,600
05 recur_opti,recur_seq_opti,5,,,50348378.0,ns,612
05 recur_opti,recur_seq_opti,5,,,51035296.0,ns,624
05 recur_opti,recur_seq_opti,5,,,51997675.0,ns,636
05 recur_opti,recur_seq_opti,5,,,53363192.0,ns,648
05 recur_opti,recur_seq_opti,5,,,53915353.0,ns,660
05 recur_opti,recur_seq_opti,5,,,55426913.0,ns,672
05 recur_opti,recur_seq_opti,5,,,55931234.0,ns,684
05 recur_opti,recur_seq_opti,5,,,56789994.0,ns,696
05 recur_opti,recur_seq_opti,5,,,58464264.0,ns,708
05 recur_opti,recur_seq_opti,5,,,58897054.0,ns,720
05 recur_opti,recur_seq_opti,5,,,61296808.0,ns,732
05 recur_opti,recur_seq_opti,5,,,60811558.0,ns,744
05 recur_opti,recur_seq_opti,5,,,61838674.0,ns,756
05 recur_opti,recur_seq_opti,5,,,63067723.0,ns,768
05 recur_opti,recur_seq_opti,5,,,64053768.0,ns,780
05 recur_opti,recur_seq_opti,5,,,64648748.0,ns,792
05 recur_opti,recur_seq_opti,5,,,65627132.0,ns,804
05 recur_opti,recur_seq_opti,5,,,66906496.0,ns,816
05 recur_opti,recur_seq_opti,5,,,67569822.0,ns,828
05 recur_opti,recur_seq_opti,5,,,68572145.0,ns,840
05 recur_opti,recur_seq_opti,5,,,69601571.0,ns,852
05 recur_opti,recur_seq_opti,5,,,70548716.0,ns,864
05 recur_opti,recur_seq_opti,5,,,71571752.0,ns,876
05 recur_opti,recur_seq_opti,5,,,72489825.0,ns,888
05 recur_opti,recur_seq_opti,5,,,73404869.0,ns,900
05 recur_opti,recur_seq_opti,5,,,74518821.0,ns,912
05 recur_opti,recur_seq_opti,5,,,75447421.0,ns,924
05 recur_opti,recur_seq_opti,5,,,76890927.0,ns,936
05 recur_opti,recur_seq_opti,5,,,77330154.0,ns,948
05 recur_opti,recur_seq_opti,5,,,77866457.0,ns,960
05 recur_opti,recur_seq_opti,5,,,79268305.0,ns,972
05 recur_opti,recur_seq_opti,5,,,80001591.0,ns,984
05 recur_opti,recur_seq_opti,5,,,81033107.0,ns,996
05 recur_opti,recur_seq_opti,5,,,82352142.0,ns,1008
05 recur_opti,recur_seq_opti,5,,,83073094.0,ns,1020
05 recur_opti,recur_seq_opti,5,,,84300503.0,ns,1032
05 recur_opti,recur_seq_opti,5,,,85255342.0,ns,1044
05 recur_opti,recur_seq_opti,5,,,86252585.0,ns,1056
05 recur_opti,recur_seq_opti,5,,,86987013.0,ns,1068
05 recur_opti,recur_seq_opti,5,,,88197477.0,ns,1080
05 recur_opti,recur_seq_opti,5,,,89111983.0,ns,1092
05 recur_opti,recur_seq_opti,5,,,89960200.0,ns,1104
05 recur_opti,recur_seq_opti,5,,,90934896.0,ns,1116
05 recur_opti,recur_seq_opti,5,,,92014882.0,ns,1128
05 recur_opti,recur_seq_opti,5,,,93115799.0,ns,1140
05 recur_opti,recur_seq_opti,5,,,93874993.0,ns,1152
05 recur_opti,recur_seq_opti,5,,,94955805.0,ns,1164
05 recur_opti,recur_seq_opti,5,,,95995909.0,ns,1176
05 recur_opti,recur_seq_opti,5,,,97448036.0,ns,1188
05 recur_opti,recur_seq_opti,5,,,98106616.0,ns,1200
