group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
06 recur_recur_opti,recur_cwd,5,,,51564484.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51471216.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51293124.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,53832792.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51792414.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51322444.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51417636.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51367300.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51451290.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51316388.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51439176.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51346653.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51353339.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51476366.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51338552.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51414964.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51403423.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51382767.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51855786.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51502310.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51539776.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51519205.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51394396.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51406171.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51565435.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51485763.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51388729.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51448365.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51555734.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51457970.0,ns,4
06 recur_recur_opti,recur_cwd,5,,,51397129.0,ns,4
