group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
06 recur_recur_opti,recur_cwd_opti,5,,,967173.0,ns,25
06 recur_recur_opti,recur_cwd_opti,5,,,1929899.0,ns,50
06 recur_recur_opti,recur_cwd_opti,5,,,2895801.0,ns,75
06 recur_recur_opti,recur_cwd_opti,5,,,3799355.0,ns,100
06 recur_recur_opti,recur_cwd_opti,5,,,4792736.0,ns,125
06 recur_recur_opti,recur_cwd_opti,5,,,5802501.0,ns,150
06 recur_recur_opti,recur_cwd_opti,5,,,6721506.0,ns,175
06 recur_recur_opti,recur_cwd_opti,5,,,7758593.0,ns,200
06 recur_recur_opti,recur_cwd_opti,5,,,8695975.0,ns,225
06 recur_recur_opti,recur_cwd_opti,5,,,9608604.0,ns,250
06 recur_recur_opti,recur_cwd_opti,5,,,10531586.0,ns,275
06 recur_recur_opti,recur_cwd_opti,5,,,11549131.0,ns,300
06 recur_recur_opti,recur_cwd_opti,5,,,12478403.0,ns,325
06 recur_recur_opti,recur_cwd_opti,5,,,13614951.0,ns,350
06 recur_recur_opti,recur_cwd_opti,5,,,14489918.0,ns,375
06 recur_recur_opti,recur_cwd_opti,5,,,15372256.0,ns,400
06 recur_recur_opti,recur_cwd_opti,5,,,16383994.0,ns,425
06 recur_recur_opti,recur_cwd_opti,5,,,17282100.0,ns,450
06 recur_recur_opti,recur_cwd_opti,5,,,18282246.0,ns,475
06 recur_recur_opti,recur_cwd_opti,5,,,19738581.0,ns,500
06 recur_recur_opti,recur_cwd_opti,5,,,21675055.0,ns,525
06 recur_recur_opti,recur_cwd_opti,5,,,21486580.0,ns,550
06 recur_recur_opti,recur_cwd_opti,5,,,22098788.0,ns,575
06 recur_recur_opti,recur_cwd_opti,5,,,22991100.0,ns,600
06 recur_recur_opti,recur_cwd_opti,5,,,23893210.0,ns,625
06 recur_recur_opti,recur_cwd_opti,5,,,25278128.0,ns,650
06 recur_recur_opti,recur_cwd_opti,5,,,26080173.0,ns,675
06 recur_recur_opti,recur_cwd_opti,5,,,27140878.0,ns,700
06 recur_recur_opti,recur_cwd_opti,5,,,28047872.0,ns,725
06 recur_recur_opti,recur_cwd_opti,5,,,28774672.0,ns,750
06 recur_recur_opti,recur_cwd_opti,5,,,29744455.0,ns,775
06 recur_recur_opti,recur_cwd_opti,5,,,29481369.0,ns,800
06 recur_recur_opti,recur_cwd_opti,5,,,30958294.0,ns,825
06 recur_recur_opti,recur_cwd_opti,5,,,32760256.0,ns,850
06 recur_recur_opti,recur_cwd_opti,5,,,35078884.0,ns,875
06 recur_recur_opti,recur_cwd_opti,5,,,37299112.0,ns,900
06 recur_recur_opti,recur_cwd_opti,5,,,35923252.0,ns,925
06 recur_recur_opti,recur_cwd_opti,5,,,36916537.0,ns,950
06 recur_recur_opti,recur_cwd_opti,5,,,38801491.0,ns,975
06 recur_recur_opti,recur_cwd_opti,5,,,39230783.0,ns,1000
06 recur_recur_opti,recur_cwd_opti,5,,,40354179.0,ns,1025
06 recur_recur_opti,recur_cwd_opti,5,,,41329502.0,ns,1050
06 recur_recur_opti,recur_cwd_opti,5,,,42616095.0,ns,1075
06 recur_recur_opti,recur_cwd_opti,5,,,43532032.0,ns,1100
06 recur_recur_opti,recur_cwd_opti,5,,,44412011.0,ns,1125
06 recur_recur_opti,recur_cwd_opti,5,,,45406127.0,ns,1150
06 recur_recur_opti,recur_cwd_opti,5,,,46278616.0,ns,1175
06 recur_recur_opti,recur_cwd_opti,5,,,47516704.0,ns,1200
06 recur_recur_opti,recur_cwd_opti,5,,,48549039.0,ns,1225
06 recur_recur_opti,recur_cwd_opti,5,,,50126704.0,ns,1250
06 recur_recur_opti,recur_cwd_opti,5,,,50824596.0,ns,1275
06 recur_recur_opti,recur_cwd_opti,5,,,51206580.0,ns,1300
06 recur_recur_opti,recur_cwd_opti,5,,,52961487.0,ns,1325
06 recur_recur_opti,recur_cwd_opti,5,,,53415025.0,ns,1350
06 recur_recur_opti,recur_cwd_opti,5,,,56343170.0,ns,1375
06 recur_recur_opti,recur_cwd_opti,5,,,55231424.0,ns,1400
06 recur_recur_opti,recur_cwd_opti,5,,,56566827.0,ns,1425
06 recur_recur_opti,recur_cwd_opti,5,,,62486361.0,ns,1450
06 recur_recur_opti,recur_cwd_opti,5,,,63734644.0,ns,1475
06 recur_recur_opti,recur_cwd_opti,5,,,60972413.0,ns,1500
06 recur_recur_opti,recur_cwd_opti,5,,,60549297.0,ns,1525
06 recur_recur_opti,recur_cwd_opti,5,,,60178588.0,ns,1550
06 recur_recur_opti,recur_cwd_opti,5,,,60972819.0,ns,1575
06 recur_recur_opti,recur_cwd_opti,5,,,61770563.0,ns,1600
06 recur_recur_opti,recur_cwd_opti,5,,,62106774.0,ns,1625
06 recur_recur_opti,recur_cwd_opti,5,,,63308640.0,ns,1650
06 recur_recur_opti,recur_cwd_opti,5,,,64876321.0,ns,1675
06 recur_recur_opti,recur_cwd_opti,5,,,65565221.0,ns,1700
06 recur_recur_opti,recur_cwd_opti,5,,,66213080.0,ns,1725
06 recur_recur_opti,recur_cwd_opti,5,,,65434191.0,ns,1750
06 recur_recur_opti,recur_cwd_opti,5,,,70425552.0,ns,1775
06 recur_recur_opti,recur_cwd_opti,5,,,71591572.0,ns,1800
06 recur_recur_opti,recur_cwd_opti,5,,,71199946.0,ns,1825
06 recur_recur_opti,recur_cwd_opti,5,,,72183844.0,ns,1850
06 recur_recur_opti,recur_cwd_opti,5,,,74530288.0,ns,1875
06 recur_recur_opti,recur_cwd_opti,5,,,75106490.0,ns,1900
06 recur_recur_opti,recur_cwd_opti,5,,,76427406.0,ns,1925
06 recur_recur_opti,recur_cwd_opti,5,,,77300193.0,ns,1950
06 recur_recur_opti,recur_cwd_opti,5,,,78434760.0,ns,1975
06 recur_recur_opti,recur_cwd_opti,5,,,79772802.0,ns,2000
06 recur_recur_opti,recur_cwd_opti,5,,,81327974.0,ns,2025
06 recur_recur_opti,recur_cwd_opti,5,,,81044789.0,ns,2050
06 recur_recur_opti,recur_cwd_opti,5,,,82287665.0,ns,2075
06 recur_recur_opti,recur_cwd_opti,5,,,83300180.0,ns,2100
06 recur_recur_opti,recur_cwd_opti,5,,,83909839.0,ns,2125
06 recur_recur_opti,recur_cwd_opti,5,,,87986979.0,ns,2150
06 recur_recur_opti,recur_cwd_opti,5,,,89156612.0,ns,2175
06 recur_recur_opti,recur_cwd_opti,5,,,87223118.0,ns,2200
06 recur_recur_opti,recur_cwd_opti,5,,,86152719.0,ns,2225
06 recur_recur_opti,recur_cwd_opti,5,,,87559389.0,ns,2250
06 recur_recur_opti,recur_cwd_opti,5,,,87776166.0,ns,2275
06 recur_recur_opti,recur_cwd_opti,5,,,88434879.0,ns,2300
06 recur_recur_opti,recur_cwd_opti,5,,,89409910.0,ns,2325
06 recur_recur_opti,recur_cwd_opti,5,,,91149423.0,ns,2350
06 recur_recur_opti,recur_cwd_opti,5,,,94688596.0,ns,2375
06 recur_recur_opti,recur_cwd_opti,5,,,95704729.0,ns,2400
06 recur_recur_opti,recur_cwd_opti,5,,,95312023.0,ns,2425
06 recur_recur_opti,recur_cwd_opti,5,,,96046109.0,ns,2450
06 recur_recur_opti,recur_cwd_opti,5,,,97683762.0,ns,2475
06 recur_recur_opti,recur_cwd_opti,5,,,99601334.0,ns,2500
