group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
07 iter_recur,iter_hyb,5,,,51382998.0,ns,4
07 iter_recur,iter_hyb,5,,,51576652.0,ns,4
07 iter_recur,iter_hyb,5,,,51294204.0,ns,4
07 iter_recur,iter_hyb,5,,,53579996.0,ns,4
07 iter_recur,iter_hyb,5,,,51836158.0,ns,4
07 iter_recur,iter_hyb,5,,,51336781.0,ns,4
07 iter_recur,iter_hyb,5,,,51556804.0,ns,4
07 iter_recur,iter_hyb,5,,,51298344.0,ns,4
07 iter_recur,iter_hyb,5,,,51541874.0,ns,4
07 iter_recur,iter_hyb,5,,,51192722.0,ns,4
07 iter_recur,iter_hyb,5,,,51105541.0,ns,4
07 iter_recur,iter_hyb,5,,,51121670.0,ns,4
07 iter_recur,iter_hyb,5,,,51112215.0,ns,4
07 iter_recur,iter_hyb,5,,,51223114.0,ns,4
07 iter_recur,iter_hyb,5,,,51201104.0,ns,4
07 iter_recur,iter_hyb,5,,,51120996.0,ns,4
07 iter_recur,iter_hyb,5,,,51115348.0,ns,4
07 iter_recur,iter_hyb,5,,,51256350.0,ns,4
07 iter_recur,iter_hyb,5,,,51137217.0,ns,4
07 iter_recur,iter_hyb,5,,,51215211.0,ns,4
07 iter_recur,iter_hyb,5,,,51094501.0,ns,4
07 iter_recur,iter_hyb,5,,,51076323.0,ns,4
07 iter_recur,iter_hyb,5,,,51165279.0,ns,4
07 iter_recur,iter_hyb,5,,,52867809.0,ns,4
07 iter_recur,iter_hyb,5,,,51215983.0,ns,4
07 iter_recur,iter_hyb,5,,,51140233.0,ns,4
07 iter_recur,iter_hyb,5,,,51153861.0,ns,4
07 iter_recur,iter_hyb,5,,,51657607.0,ns,4
07 iter_recur,iter_hyb,5,,,51503104.0,ns,4
07 iter_recur,iter_hyb,5,,,51102147.0,ns,4
07 iter_recur,iter_hyb,5,,,51007308.0,ns,4
07 iter_recur,iter_hyb,5,,,51042411.0,ns,4
07 iter_recur,iter_hyb,5,,,51098720.0,ns,4
07 iter_recur,iter_hyb,5,,,51664796.0,ns,4
07 iter_recur,iter_hyb,5,,,51112024.0,ns,4
07 iter_recur,iter_hyb,5,,,50978198.0,ns,4
07 iter_recur,iter_hyb,5,,,51398088.0,ns,4
07 iter_recur,iter_hyb,5,,,51225462.0,ns,4
07 iter_recur,iter_hyb,5,,,51166694.0,ns,4
07 iter_recur,iter_hyb,5,,,51313942.0,ns,4
07 iter_recur,iter_hyb,5,,,51519476.0,ns,4
07 iter_recur,iter_hyb,5,,,51402750.0,ns,4
07 iter_recur,iter_hyb,5,,,52663659.0,ns,4
07 iter_recur,iter_hyb,5,,,51540305.0,ns,4
07 iter_recur,iter_hyb,5,,,51394314.0,ns,4
07 iter_recur,iter_hyb,5,,,51402193.0,ns,4
07 iter_recur,iter_hyb,5,,,51295964.0,ns,4
07 iter_recur,iter_hyb,5,,,51474776.0,ns,4
07 iter_recur,iter_hyb,5,,,51214767.0,ns,4
07 iter_recur,iter_hyb,5,,,51110978.0,ns,4
07 iter_recur,iter_hyb,5,,,51127059.0,ns,4
07 iter_recur,iter_hyb,5,,,51272939.0,ns,4
07 iter_recur,iter_hyb,5,,,51209057.0,ns,4
07 iter_recur,iter_hyb,5,,,51113850.0,ns,4
07 iter_recur,iter_hyb,5,,,51259016.0,ns,4
07 iter_recur,iter_hyb,5,,,51136996.0,ns,4
07 iter_recur,iter_hyb,5,,,51192749.0,ns,4
07 iter_recur,iter_hyb,5,,,51206812.0,ns,4
07 iter_recur,iter_hyb,5,,,51470912.0,ns,4
07 iter_recur,iter_hyb,5,,,51182775.0,ns,4
07 iter_recur,iter_hyb,5,,,51259513.0,ns,4
07 iter_recur,iter_hyb,5,,,51122852.0,ns,4
07 iter_recur,iter_hyb,5,,,51454142.0,ns,4
07 iter_recur,iter_hyb,5,,,51170736.0,ns,4
07 iter_recur,iter_hyb,5,,,51099825.0,ns,4
07 iter_recur,iter_hyb,5,,,51389517.0,ns,4
07 iter_recur,iter_hyb,5,,,51631022.0,ns,4
07 iter_recur,iter_hyb,5,,,52251580.0,ns,4
07 iter_recur,iter_hyb,5,,,51166882.0,ns,4
07 iter_recur,iter_hyb,5,,,51262545.0,ns,4
07 iter_recur,iter_hyb,5,,,51077740.0,ns,4
