group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
07 iter_recur,recur_cwd,5,,,51501379.0,ns,4
07 iter_recur,recur_cwd,5,,,51456821.0,ns,4
07 iter_recur,recur_cwd,5,,,51470671.0,ns,4
07 iter_recur,recur_cwd,5,,,54591497.0,ns,4
07 iter_recur,recur_cwd,5,,,53077013.0,ns,4
07 iter_recur,recur_cwd,5,,,51992732.0,ns,4
07 iter_recur,recur_cwd,5,,,51771619.0,ns,4
07 iter_recur,recur_cwd,5,,,51618761.0,ns,4
07 iter_recur,recur_cwd,5,,,51543712.0,ns,4
07 iter_recur,recur_cwd,5,,,51448856.0,ns,4
07 iter_recur,recur_cwd,5,,,51306949.0,ns,4
07 iter_recur,recur_cwd,5,,,51306636.0,ns,4
07 iter_recur,recur_cwd,5,,,51459966.0,ns,4
07 iter_recur,recur_cwd,5,,,51387002.0,ns,4
07 iter_recur,recur_cwd,5,,,51378541.0,ns,4
07 iter_recur,recur_cwd,5,,,51445438.0,ns,4
07 iter_recur,recur_cwd,5,,,51449177.0,ns,4
07 iter_recur,recur_cwd,5,,,51623426.0,ns,4
07 iter_recur,recur_cwd,5,,,51620543.0,ns,4
07 iter_recur,recur_cwd,5,,,51455886.0,ns,4
07 iter_recur,recur_cwd,5,,,51745208.0,ns,4
07 iter_recur,recur_cwd,5,,,51981112.0,ns,4
07 iter_recur,recur_cwd,5,,,51584873.0,ns,4
07 iter_recur,recur_cwd,5,,,51528697.0,ns,4
07 iter_recur,recur_cwd,5,,,51466707.0,ns,4
07 iter_recur,recur_cwd,5,,,51429455.0,ns,4
07 iter_recur,recur_cwd,5,,,51460255.0,ns,4
07 iter_recur,recur_cwd,5,,,51467332.0,ns,4
07 iter_recur,recur_cwd,5,,,51481746.0,ns,4
07 iter_recur,recur_cwd,5,,,51399559.0,ns,4
07 iter_recur,recur_cwd,5,,,51373748.0,ns,4
07 iter_recur,recur_cwd,5,,,51445821.0,ns,4
07 iter_recur,recur_cwd,5,,,51416262.0,ns,4
07 iter_recur,recur_cwd,5,,,51440037.0,ns,4
07 iter_recur,recur_cwd,5,,,51387233.0,ns,4
07 iter_recur,recur_cwd,5,,,51428303.0,ns,4
07 iter_recur,recur_cwd,5,,,51507717.0,ns,4
07 iter_recur,recur_cwd,5,,,51440603.0,ns,4
07 iter_recur,recur_cwd,5,,,51526720.0,ns,4
