group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
08 iter_recur_opti,iter_hyb_opti,5,,,1014816.0,ns,16
08 iter_recur_opti,iter_hyb_opti,5,,,1992075.0,ns,32
08 iter_recur_opti,iter_hyb_opti,5,,,2939523.0,ns,48
08 iter_recur_opti,iter_hyb_opti,5,,,4299784.0,ns,64
08 iter_recur_opti,iter_hyb_opti,5,,,5189567.0,ns,80
08 iter_recur_opti,iter_hyb_opti,5,,,6063474.0,ns,96
08 iter_recur_opti,iter_hyb_opti,5,,,7026651.0,ns,112
08 iter_recur_opti,iter_hyb_opti,5,,,7969886.0,ns,128
08 iter_recur_opti,iter_hyb_opti,5,,,9542812.0,ns,144
08 iter_recur_opti,iter_hyb_opti,5,,,9915130.0,ns,160
08 iter_recur_opti,iter_hyb_opti,5,,,11177977.0,ns,176
08 iter_recur_opti,iter_hyb_opti,5,,,12189998.0,ns,192
08 iter_recur_opti,iter_hyb_opti,5,,,12996445.0,ns,208
08 iter_recur_opti,iter_hyb_opti,5,,,14322769.0,ns,224
08 iter_recur_opti,iter_hyb_opti,5,,,15257215.0,ns,240
08 iter_recur_opti,iter_hyb_opti,5,,,16251252.0,ns,256
08 iter_recur_opti,iter_hyb_opti,5,,,17088921.0,ns,272
08 iter_recur_opti,iter_hyb_opti,5,,,18151388.0,ns,288
08 iter_recur_opti,iter_hyb_opti,5,,,19175504.0,ns,304
08 iter_recur_opti,iter_hyb_opti,5,,,20702450.0,ns,320
08 iter_recur_opti,iter_hyb_opti,5,,,21368075.0,ns,336
08 iter_recur_opti,iter_hyb_opti,5,,,22507323.0,ns,352
08 iter_recur_opti,iter_hyb_opti,5,,,23597049.0,ns,368
08 iter_recur_opti,iter_hyb_opti,5,,,24339359.0,ns,384
08 iter_recur_opti,iter_hyb_opti,5,,,25276021.0,ns,400
08 iter_recur_opti,iter_hyb_opti,5,,,26051829.0,ns,416
08 iter_recur_opti,iter_hyb_opti,5,,,27280405.0,ns,432
08 iter_recur_opti,iter_hyb_opti,5,,,28221720.0,ns,448
08 iter_recur_opti,iter_hyb_opti,5,,,29162978.0,ns,464
08 iter_recur_opti,iter_hyb_opti,5,,,30455738.0,ns,480
08 iter_recur_opti,iter_hyb_opti,5,,,31710154.0,ns,496
08 iter_recur_opti,iter_hyb_opti,5,,,32502227.0,ns,512
08 iter_recur_opti,iter_hyb_opti,5,,,33035409.0,ns,528
08 iter_recur_opti,iter_hyb_opti,5,,,34365212.0,ns,544
08 iter_recur_opti,iter_hyb_opti,5,,,35577343.0,ns,560
08 iter_recur_opti,iter_hyb_opti,5,,,36124458.0,ns,576
08 iter_recur_opti,iter_hyb_opti,5,,,37088962.0,ns,592
08 iter_recur_opti,iter_hyb_opti,5,,,38891863.0,ns,608
08 iter_recur_opti,iter_hyb_opti,5,,,39187458.0,ns,624
08 iter_recur_opti,iter_hyb_opti,5,,,40323975.0,ns,640
08 iter_recur_opti,iter_hyb_opti,5,,,41339451.0,ns,656
08 iter_recur_opti,iter_hyb_opti,5,,,43105410.0,ns,672
08 iter_recur_opti,iter_hyb_opti,5,,,43797890.0,ns,688
08 iter_recur_opti,iter_hyb_opti,5,,,44426918.0,ns,704
08 iter_recur_opti,iter_hyb_opti,5,,,45349850.0,ns,720
08 iter_recur_opti,iter_hyb_opti,5,,,47381943.0,ns,736
08 iter_recur_opti,iter_hyb_opti,5,,,47115412.0,ns,752
08 iter_recur_opti,iter_hyb_opti,5,,,48372719.0,ns,768
08 iter_recur_opti,iter_hyb_opti,5,,,49952999.0,ns,784
08 iter_recur_opti,iter_hyb_opti,5,,,50340672.0,ns,800
08 iter_recur_opti,iter_hyb_opti,5,,,51469077.0,ns,816
08 iter_recur_opti,iter_hyb_opti,5,,,52404679.0,ns,832
08 iter_recur_opti,iter_hyb_opti,5,,,53588502.0,ns,848
08 iter_recur_opti,iter_hyb_opti,5,,,54277479.0,ns,864
08 iter_recur_opti,iter_hyb_opti,5,,,55647050.0,ns,880
08 iter_recur_opti,iter_hyb_opti,5,,,56189170.0,ns,896
08 iter_recur_opti,iter_hyb_opti,5,,,57315237.0,ns,912
08 iter_recur_opti,iter_hyb_opti,5,,,58631037.0,ns,928
08 iter_recur_opti,iter_hyb_opti,5,,,59912803.0,ns,944
08 iter_recur_opti,iter_hyb_opti,5,,,60605245.0,ns,960
08 iter_recur_opti,iter_hyb_opti,5,,,61768368.0,ns,976
08 iter_recur_opti,iter_hyb_opti,5,,,62099629.0,ns,992
08 iter_recur_opti,iter_hyb_opti,5,,,63375958.0,ns,1008
08 iter_recur_opti,iter_hyb_opti,5,,,64476240.0,ns,1024
08 iter_recur_opti,iter_hyb_opti,5,,,64954383.0,ns,1040
08 iter_recur_opti,iter_hyb_opti,5,,,67914145.0,ns,1056
08 iter_recur_opti,iter_hyb_opti,5,,,67455580.0,ns,1072
08 iter_recur_opti,iter_hyb_opti,5,,,68494932.0,ns,1088
08 iter_recur_opti,iter_hyb_opti,5,,,69346182.0,ns,1104
08 iter_recur_opti,iter_hyb_opti,5,,,70747971.0,ns,1120
08 iter_recur_opti,iter_hyb_opti,5,,,71633397.0,ns,1136
08 iter_recur_opti,iter_hyb_opti,5,,,72801250.0,ns,1152
08 iter_recur_opti,iter_hyb_opti,5,,,73539274.0,ns,1168
08 iter_recur_opti,iter_hyb_opti,5,,,74702091.0,ns,1184
08 iter_recur_opti,iter_hyb_opti,5,,,77540529.0,ns,1200
08 iter_recur_opti,iter_hyb_opti,5,,,77126012.0,ns,1216
08 iter_recur_opti,iter_hyb_opti,5,,,78333710.0,ns,1232
08 iter_recur_opti,iter_hyb_opti,5,,,78765375.0,ns,1248
08 iter_recur_opti,iter_hyb_opti,5,,,78982062.0,ns,1264
08 iter_recur_opti,iter_hyb_opti,5,,,82203332.0,ns,1280
08 iter_recur_opti,iter_hyb_opti,5,,,81956037.0,ns,1296
08 iter_recur_opti,iter_hyb_opti,5,,,82680548.0,ns,1312
08 iter_recur_opti,iter_hyb_opti,5,,,84059075.0,ns,1328
08 iter_recur_opti,iter_hyb_opti,5,,,85298600.0,ns,1344
08 iter_recur_opti,iter_hyb_opti,5,,,85634221.0,ns,1360
08 iter_recur_opti,iter_hyb_opti,5,,,86996853.0,ns,1376
08 iter_recur_opti,iter_hyb_opti,5,,,88873161.0,ns,1392
08 iter_recur_opti,iter_hyb_opti,5,,,88612046.0,ns,1408
08 iter_recur_opti,iter_hyb_opti,5,,,90709025.0,ns,1424
08 iter_recur_opti,iter_hyb_opti,5,,,90805015.0,ns,1440
08 iter_recur_opti,iter_hyb_opti,5,,,92272945.0,ns,1456
08 iter_recur_opti,iter_hyb_opti,5,,,93509105.0,ns,1472
08 iter_recur_opti,iter_hyb_opti,5,,,93644350.0,ns,1488
08 iter_recur_opti,iter_hyb_opti,5,,,94747117.0,ns,1504
08 iter_recur_opti,iter_hyb_opti,5,,,97370051.0,ns,1520
08 iter_recur_opti,iter_hyb_opti,5,,,96575326.0,ns,1536
08 iter_recur_opti,iter_hyb_opti,5,,,98469020.0,ns,1552
08 iter_recur_opti,iter_hyb_opti,5,,,99045911.0,ns,1568
08 iter_recur_opti,iter_hyb_opti,5,,,99076043.0,ns,1584
08 iter_recur_opti,iter_hyb_opti,5,,,101538328.0,ns,1600
