group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
08 iter_recur_opti,recur_cwd_opti,5,,,1009897.0,ns,25
08 iter_recur_opti,recur_cwd_opti,5,,,2007033.0,ns,50
08 iter_recur_opti,recur_cwd_opti,5,,,2959280.0,ns,75
08 iter_recur_opti,recur_cwd_opti,5,,,4054549.0,ns,100
08 iter_recur_opti,recur_cwd_opti,5,,,5192418.0,ns,125
08 iter_recur_opti,recur_cwd_opti,5,,,6213755.0,ns,150
08 iter_recur_opti,recur_cwd_opti,5,,,7176245.0,ns,175
08 iter_recur_opti,recur_cwd_opti,5,,,7979795.0,ns,200
08 iter_recur_opti,recur_cwd_opti,5,,,9334357.0,ns,225
08 iter_recur_opti,recur_cwd_opti,5,,,10362474.0,ns,250
08 iter_recur_opti,recur_cwd_opti,5,,,11054702.0,ns,275
08 iter_recur_opti,recur_cwd_opti,5,,,12518480.0,ns,300
08 iter_recur_opti,recur_cwd_opti,5,,,13106876.0,ns,325
08 iter_recur_opti,recur_cwd_opti,5,,,14418491.0,ns,350
08 iter_recur_opti,recur_cwd_opti,5,,,15220574.0,ns,375
08 iter_recur_opti,recur_cwd_opti,5,,,16725871.0,ns,400
08 iter_recur_opti,recur_cwd_opti,5,,,17327177.0,ns,425
08 iter_recur_opti,recur_cwd_opti,5,,,18476531.0,ns,450
08 iter_recur_opti,recur_cwd_opti,5,,,19412516.0,ns,475
08 iter_recur_opti,recur_cwd_opti,5,,,21896412.0,ns,500
08 iter_recur_opti,recur_cwd_opti,5,,,21941645.0,ns,525
08 iter_recur_opti,recur_cwd_opti,5,,,22532059.0,ns,550
08 iter_recur_opti,recur_cwd_opti,5,,,23706976.0,ns,575
08 iter_recur_opti,recur_cwd_opti,5,,,25041405.0,ns,600
08 iter_recur_opti,recur_cwd_opti,5,,,25667885.0,ns,625
08 iter_recur_opti,recur_cwd_opti,5,,,26417277.0,ns,650
08 iter_recur_opti,recur_cwd_opti,5,,,27610415.0,ns,675
08 iter_recur_opti,recur_cwd_opti,5,,,28769679.0,ns,700
08 iter_recur_opti,recur_cwd_opti,5,,,29938495.0,ns,725
08 iter_recur_opti,recur_cwd_opti,5,,,30741998.0,ns,750
08 iter_recur_opti,recur_cwd_opti,5,,,31652151.0,ns,775
08 iter_recur_opti,recur_cwd_opti,5,,,33165734.0,ns,800
08 iter_recur_opti,recur_cwd_opti,5,,,34553438.0,ns,825
08 iter_recur_opti,recur_cwd_opti,5,,,34850710.0,ns,850
08 iter_recur_opti,recur_cwd_opti,5,,,35916469.0,ns,875
08 iter_recur_opti,recur_cwd_opti,5,,,37166173.0,ns,900
08 iter_recur_opti,recur_cwd_opti,5,,,38491984.0,ns,925
08 iter_recur_opti,recur_cwd_opti,5,,,38771164.0,ns,950
08 iter_recur_opti,recur_cwd_opti,5,,,40062436.0,ns,975
08 iter_recur_opti,recur_cwd_opti,5,,,41429418.0,ns,1000
08 iter_recur_opti,recur_cwd_opti,5,,,42411788.0,ns,1025
08 iter_recur_opti,recur_cwd_opti,5,,,43051110.0,ns,1050
08 iter_recur_opti,recur_cwd_opti,5,,,44273033.0,ns,1075
08 iter_recur_opti,recur_cwd_opti,5,,,45451523.0,ns,1100
08 iter_recur_opti,recur_cwd_opti,5,,,46496176.0,ns,1125
08 iter_recur_opti,recur_cwd_opti,5,,,47168818.0,ns,1150
08 iter_recur_opti,recur_cwd_opti,5,,,48523271.0,ns,1175
08 iter_recur_opti,recur_cwd_opti,5,,,49388027.0,ns,1200
08 iter_recur_opti,recur_cwd_opti,5,,,50526031.0,ns,1225
08 iter_recur_opti,recur_cwd_opti,5,,,52286691.0,ns,1250
08 iter_recur_opti,recur_cwd_opti,5,,,52608741.0,ns,1275
08 iter_recur_opti,recur_cwd_opti,5,,,55599883.0,ns,1300
08 iter_recur_opti,recur_cwd_opti,5,,,54498944.0,ns,1325
08 iter_recur_opti,recur_cwd_opti,5,,,55594930.0,ns,1350
08 iter_recur_opti,recur_cwd_opti,5,,,56783041.0,ns,1375
08 iter_recur_opti,recur_cwd_opti,5,,,57218925.0,ns,1400
08 iter_recur_opti,recur_cwd_opti,5,,,58140795.0,ns,1425
08 iter_recur_opti,recur_cwd_opti,5,,,59016330.0,ns,1450
08 iter_recur_opti,recur_cwd_opti,5,,,60481672.0,ns,1475
08 iter_recur_opti,recur_cwd_opti,5,,,61641075.0,ns,1500
08 iter_recur_opti,recur_cwd_opti,5,,,62521348.0,ns,1525
08 iter_recur_opti,recur_cwd_opti,5,,,63604678.0,ns,1550
08 iter_recur_opti,recur_cwd_opti,5,,,64674192.0,ns,1575
08 iter_recur_opti,recur_cwd_opti,5,,,66090728.0,ns,1600
08 iter_recur_opti,recur_cwd_opti,5,,,66687652.0,ns,1625
08 iter_recur_opti,recur_cwd_opti,5,,,67900506.0,ns,1650
08 iter_recur_opti,recur_cwd_opti,5,,,69101864.0,ns,1675
08 iter_recur_opti,recur_cwd_opti,5,,,70543135.0,ns,1700
08 iter_recur_opti,recur_cwd_opti,5,,,70180992.0,ns,1725
08 iter_recur_opti,recur_cwd_opti,5,,,71940648.0,ns,1750
08 iter_recur_opti,recur_cwd_opti,5,,,73045681.0,ns,1775
08 iter_recur_opti,recur_cwd_opti,5,,,73812867.0,ns,1800
08 iter_recur_opti,recur_cwd_opti,5,,,74794048.0,ns,1825
08 iter_recur_opti,recur_cwd_opti,5,,,75698592.0,ns,1850
08 iter_recur_opti,recur_cwd_opti,5,,,76461552.0,ns,1875
08 iter_recur_opti,recur_cwd_opti,5,,,77428548.0,ns,1900
08 iter_recur_opti,recur_cwd_opti,5,,,78848391.0,ns,1925
08 iter_recur_opti,recur_cwd_opti,5,,,79776382.0,ns,1950
08 iter_recur_opti,recur_cwd_opti,5,,,80737298.0,ns,1975
08 iter_recur_opti,recur_cwd_opti,5,,,82935714.0,ns,2000
08 iter_recur_opti,recur_cwd_opti,5,,,83617288.0,ns,2025
08 iter_recur_opti,recur_cwd_opti,5,,,84092361.0,ns,2050
08 iter_recur_opti,recur_cwd_opti,5,,,86279648.0,ns,2075
08 iter_recur_opti,recur_cwd_opti,5,,,85924584.0,ns,2100
08 iter_recur_opti,recur_cwd_opti,5,,,86912279.0,ns,2125
08 iter_recur_opti,recur_cwd_opti,5,,,88460507.0,ns,2150
08 iter_recur_opti,recur_cwd_opti,5,,,89219594.0,ns,2175
08 iter_recur_opti,recur_cwd_opti,5,,,89949777.0,ns,2200
08 iter_recur_opti,recur_cwd_opti,5,,,90854517.0,ns,2225
08 iter_recur_opti,recur_cwd_opti,5,,,92074013.0,ns,2250
08 iter_recur_opti,recur_cwd_opti,5,,,94098936.0,ns,2275
08 iter_recur_opti,recur_cwd_opti,5,,,95264717.0,ns,2300
08 iter_recur_opti,recur_cwd_opti,5,,,96128788.0,ns,2325
08 iter_recur_opti,recur_cwd_opti,5,,,97182320.0,ns,2350
08 iter_recur_opti,recur_cwd_opti,5,,,97120016.0,ns,2375
08 iter_recur_opti,recur_cwd_opti,5,,,98319928.0,ns,2400
08 iter_recur_opti,recur_cwd_opti,5,,,99861476.0,ns,2425
08 iter_recur_opti,recur_cwd_opti,5,,,100388780.0,ns,2450
08 iter_recur_opti,recur_cwd_opti,5,,,101726540.0,ns,2475
08 iter_recur_opti,recur_cwd_opti,5,,,101801029.0,ns,2500
